,ST_Rev
19371117,   0.76
19371118,   0.80
19371119,   2.58
19371120,   1.80
19371122,   0.66
19371123,   1.51
19371124,   0.57
19371126,   4.15
19371127,   4.24
19371129,   1.26
19371130,   0.72
19371201,   1.04
19371202,   0.37
19371203,   0.57
19371204,   0.73
19371206,   0.93
19371207,   0.26
19371208,   1.64
19371209,   0.67
19371210,  -0.23
19371211,  -0.06
19371213,   0.51
19371214,   0.75
19371215,  -0.03
19371216,  -0.13
19371217,   0.81
19371218,  -0.39
19371220,  -0.05
19371221,  -0.64
19371222,   0.40
19371223,   0.80
19371224,   0.55
19371227,   0.87
19371228,  -0.65
19371229,  -0.23
19371230,   3.35
19371231,   1.26
19380103,   1.34
19380104,   4.67
19380105,   0.92
19380106,   4.26
19380107,   0.66
19380108,   1.35
19380110,   1.54
19380111,   0.67
19380112,   0.99
19380113,   0.88
19380114,   1.26
19380115,  -0.26
19380117,   1.07
19380118,   0.60
19380119,   0.34
19380120,   0.56
19380121,   1.55
19380122,   0.64
19380124,   0.98
19380125,   1.70
19380126,   2.39
19380127,   0.99
19380128,   0.20
19380129,   1.69
19380131,   2.08
19380201,   2.41
19380202,   0.00
19380203,  -1.20
19380204,   2.42
19380205,   2.92
19380207,   0.62
19380208,   2.78
19380209,   2.01
19380210,   1.33
19380211,   0.69
19380214,   0.64
19380215,   0.80
19380216,   0.68
19380217,   1.88
19380218,   0.98
19380219,   0.50
19380221,   0.18
19380223,  -1.08
19380224,   2.11
19380225,  -0.24
19380226,   1.07
19380228,   0.65
19380301,   0.12
19380302,   1.25
19380303,   1.26
19380304,   1.16
19380305,   1.23
19380307,   0.57
19380308,   1.14
19380309,   0.37
19380310,   0.32
19380311,  -0.14
19380312,   0.97
19380314,   1.57
19380315,   1.82
19380316,   0.83
19380317,  -0.15
19380318,  -2.04
19380319,   3.64
19380321,   1.66
19380322,  -0.88
19380323,  -1.21
19380324,   2.62
19380325,  -3.47
19380326,  -0.32
19380328,   5.95
19380329,  -2.81
19380330,   2.35
19380331,   2.33
19380401,   7.46
19380402,   6.02
19380404,   2.54
19380405,   2.72
19380406,   0.16
19380407,   0.93
19380408,   4.65
19380409,   4.50
19380411,   1.92
19380412,   1.96
19380413,   1.47
19380414,   2.06
19380416,   1.16
19380418,   2.49
19380419,   2.60
19380420,   0.95
19380421,   0.60
19380422,   0.50
19380423,   1.69
19380425,   2.34
19380426,   2.68
19380427,  -0.26
19380428,   1.93
19380429,   1.47
19380430,   1.14
19380502,   1.16
19380503,   0.91
19380504,   0.52
19380505,   0.81
19380506,   1.52
19380507,   2.08
19380509,   0.77
19380510,   1.67
19380511,   0.23
19380512,   0.56
19380513,   0.46
19380514,   0.81
19380516,   1.29
19380517,   0.59
19380518,   0.82
19380519,   0.74
19380520,   0.47
19380521,   0.15
19380523,   0.63
19380524,   0.60
19380525,   0.89
19380526,   0.68
19380527,   0.89
19380528,   2.26
19380531,   0.10
19380601,   3.38
19380602,   0.64
19380603,  -0.11
19380604,   2.64
19380606,   1.80
19380607,   0.11
19380608,   0.48
19380609,   2.46
19380610,   1.80
19380611,   0.64
19380613,  -0.41
19380614,   1.37
19380615,   0.71
19380616,   0.42
19380617,   0.89
19380618,   0.34
19380620,   0.90
19380621,  -0.53
19380622,   0.09
19380623,   0.95
19380624,   0.56
19380625,  -1.43
19380627,   1.67
19380628,   1.06
19380629,  -2.77
19380630,   2.49
19380701,  -1.33
19380702,  -1.26
19380705,   1.35
19380706,  -1.57
19380707,   0.95
19380708,   2.56
19380709,   0.68
19380711,   2.08
19380712,  -2.22
19380713,   1.07
19380714,   2.50
19380715,   0.01
19380716,   0.00
19380718,  -1.02
19380719,  -0.32
19380720,   1.80
19380721,   0.44
19380722,   0.75
19380723,  -0.33
19380725,   1.26
19380726,   1.43
19380727,   3.53
19380728,  -0.80
19380729,   0.77
19380730,   0.50
19380801,   0.85
19380802,   0.66
19380803,   1.02
19380804,  -0.18
19380805,  -0.25
19380806,   0.15
19380808,   0.96
19380809,  -0.04
19380810,   0.99
19380811,   0.46
19380812,  -0.45
19380813,   0.13
19380815,   0.54
19380816,   1.27
19380817,   0.58
19380818,  -0.09
19380819,   0.83
19380820,   0.36
19380822,  -0.13
19380823,   1.16
19380824,   0.77
19380825,   0.08
19380826,   0.57
19380827,   0.79
19380829,   0.91
19380830,   1.29
19380831,   0.99
19380901,  -0.07
19380902,   1.60
19380903,   1.44
19380906,   1.24
19380907,  -0.33
19380908,   1.48
19380909,   2.12
19380910,   0.91
19380912,   0.23
19380913,   1.22
19380914,   0.49
19380915,   6.43
19380916,   0.84
19380917,  -1.56
19380919,   5.22
19380920,   6.28
19380921,   2.92
19380922,  -0.33
19380923,   0.27
19380924,   1.49
19380926,   0.69
19380927,   1.78
19380928,   7.16
19380929,   5.31
19380930,   3.45
19381001,   2.51
19381003,   1.50
19381004,   1.09
19381005,   0.10
19381006,   1.93
19381007,  -0.09
19381008,  -1.36
19381010,   0.74
19381011,   1.23
19381013,  -1.86
19381014,   1.09
19381015,  -1.35
19381017,   1.64
19381018,   0.38
19381019,   3.13
19381020,  -0.17
19381021,   0.06
19381022,  -1.23
19381024,   0.46
19381025,   0.68
19381026,   0.71
19381027,  -0.03
19381028,   1.23
19381029,   0.84
19381031,   0.12
19381101,   1.33
19381102,   0.02
19381103,   0.92
19381104,   0.67
19381105,   0.25
19381107,   0.08
19381109,  -0.24
19381110,   0.43
19381112,  -0.74
19381114,   0.82
19381115,   0.82
19381116,   1.38
19381117,  -0.43
19381118,   0.46
19381119,   0.32
19381121,   0.31
19381122,  -0.54
19381123,   0.84
19381125,   0.59
19381126,   0.33
19381128,  -0.78
19381129,   1.01
19381130,   1.97
19381201,   1.03
19381202,  -0.37
19381203,   0.18
19381205,  -0.10
19381206,   1.02
19381207,   0.71
19381208,  -0.89
19381209,  -0.78
19381210,   0.74
19381212,   0.48
19381213,   0.33
19381214,   0.74
19381215,   0.89
19381216,   0.82
19381217,   0.33
19381219,  -0.64
19381220,   0.07
19381221,  -0.21
19381222,   0.47
19381223,   0.94
19381224,  -0.36
19381227,   0.40
19381228,   0.02
19381229,   3.15
19381230,   1.88
19381231,   0.42
19390103,   1.55
19390104,  -0.83
19390105,   2.46
19390106,   0.17
19390107,   1.00
19390109,   0.63
19390110,   0.61
19390111,   0.19
19390112,   0.67
19390113,   0.16
19390114,   0.50
19390116,   0.41
19390117,  -0.21
19390118,   0.62
19390119,  -0.46
19390120,   0.38
19390121,   0.84
19390123,  -1.31
19390124,   0.70
19390125,   0.01
19390126,  -1.75
19390127,   3.06
19390128,   0.19
19390130,   3.85
19390131,   3.27
19390201,   0.21
19390202,   1.29
19390203,   0.02
19390204,   0.85
19390206,   0.57
19390207,   0.88
19390208,   1.66
19390209,  -0.57
19390210,   0.29
19390211,   1.50
19390214,  -0.32
19390215,   1.00
19390216,   1.16
19390217,   0.80
19390218,  -0.01
19390220,   1.77
19390221,   0.11
19390223,   0.00
19390224,  -0.39
19390225,   0.79
19390227,   0.92
19390228,  -0.10
19390301,   0.35
19390302,   0.30
19390303,   0.06
19390304,   0.75
19390306,   1.34
19390307,   0.21
19390308,  -0.05
19390309,   0.94
19390310,  -0.01
19390311,   0.90
19390313,   1.10
19390314,   0.65
19390315,   1.53
19390316,   0.74
19390317,   1.23
19390318,   0.92
19390320,   1.47
19390321,   1.21
19390322,  -1.90
19390323,   2.35
19390324,   2.43
19390325,  -0.13
19390327,   0.11
19390328,  -0.33
19390329,   1.25
19390330,  -2.52
19390331,  -5.33
19390401,   7.61
19390403,   2.27
19390404,  -0.77
19390405,   1.75
19390406,  -3.20
19390408,  -3.93
19390410,   5.18
19390411,   2.28
19390412,   4.03
19390413,   1.32
19390414,  -0.87
19390415,   5.21
19390417,  -0.23
19390418,   0.17
19390419,   1.90
19390420,   1.53
19390421,   0.49
19390422,   0.39
19390424,  -0.43
19390425,   0.99
19390426,   0.91
19390427,   1.51
19390428,  -0.10
19390429,   0.85
19390501,   0.09
19390502,   1.10
19390503,  -0.82
19390504,   1.00
19390505,   1.19
19390506,   0.46
19390508,   0.12
19390509,  -0.27
19390510,   0.83
19390511,   1.38
19390512,   0.81
19390513,   0.64
19390515,   0.87
19390516,   1.49
19390517,   0.53
19390518,   0.62
19390519,   0.25
19390520,   0.81
19390522,   0.91
19390523,   0.46
19390524,   0.50
19390525,   0.95
19390526,   0.59
19390527,   0.70
19390529,   0.45
19390531,   0.78
19390601,   0.99
19390602,   0.55
19390603,   0.25
19390605,   0.13
19390606,   0.27
19390607,   0.03
19390608,   0.36
19390609,   0.36
19390610,   0.87
19390612,   0.92
19390613,   1.29
19390614,   0.91
19390615,   1.37
19390616,   0.13
19390617,   0.75
19390619,   0.74
19390620,   1.32
19390621,   0.24
19390622,   0.71
19390623,   0.39
19390624,   0.24
19390626,   0.24
19390627,   1.24
19390628,  -0.69
19390629,  -1.39
19390630,   1.31
19390701,   1.48
19390703,   0.98
19390705,   2.00
19390706,   0.71
19390707,   0.48
19390708,   0.65
19390710,   0.72
19390711,   1.45
19390712,   1.87
19390713,   1.51
19390714,   1.03
19390715,   0.61
19390717,   0.96
19390718,   0.98
19390719,   1.50
19390720,   1.21
19390721,  -1.63
19390722,  -0.75
19390724,   1.31
19390725,   0.75
19390726,  -0.73
19390727,   0.36
19390728,   1.40
19390729,   1.24
19390731,   0.94
19390801,  -0.06
19390802,  -0.70
19390803,   0.83
19390804,   2.68
19390805,   0.47
19390807,   1.14
19390808,   0.51
19390809,   0.46
19390810,   0.20
19390811,   0.71
19390812,   1.28
19390814,   0.65
19390815,   1.31
19390816,  -0.22
19390817,   0.32
19390818,  -1.09
19390819,   1.19
19390821,  -1.49
19390822,   3.03
19390823,  -2.15
19390824,   1.73
19390825,   3.52
19390826,   4.36
19390828,  -0.89
19390829,   3.00
19390830,   0.80
19390831,   0.08
19390901,  -0.97
19390902,  -0.39
19390905, -17.14
19390906,   4.42
19390907,   1.09
19390908,  -3.17
19390909,  -1.62
19390911,  -7.38
19390912,  -0.43
19390913,   5.12
19390914,   1.31
19390915,   1.08
19390916,   3.00
19390918,   5.51
19390919,  -6.62
19390920,  -0.78
19390921,  -2.48
19390922,   0.80
19390923,   0.13
19390925,  -0.18
19390926,  -1.55
19390927,   0.99
19390928,   2.93
19390929,   1.07
19390930,  -1.48
19391002,   1.49
19391003,   0.99
19391004,   0.49
19391005,  -0.09
19391006,   0.36
19391007,   0.04
19391009,  -0.01
19391010,   0.72
19391011,   0.56
19391013,   0.73
19391014,   0.02
19391016,   0.37
19391017,   2.77
19391018,   0.80
19391019,  -0.56
19391020,  -0.35
19391021,   0.41
19391023,  -0.80
19391024,  -0.23
19391025,  -0.09
19391026,   0.38
19391027,   0.14
19391028,   0.18
19391030,  -0.18
19391031,   0.00
19391101,  -0.18
19391102,   0.05
19391103,   0.55
19391104,   0.23
19391106,  -0.05
19391108,   0.02
19391109,  -0.19
19391110,   0.41
19391113,  -0.37
19391114,   0.65
19391115,   0.14
19391116,   0.35
19391117,   0.10
19391118,   0.50
19391120,   0.50
19391121,  -0.52
19391122,  -0.87
19391124,  -1.01
19391125,   0.11
19391127,  -0.14
19391128,  -0.20
19391129,  -1.01
19391130,  -0.73
19391201,   2.01
19391202,   0.94
19391204,  -0.63
19391205,   0.36
19391206,   2.20
19391207,   0.22
19391208,   0.07
19391209,   0.35
19391211,  -0.49
19391212,  -0.13
19391213,   1.87
19391214,   0.20
19391215,   0.06
19391216,   0.00
19391218,  -0.54
19391219,  -0.24
19391220,   0.72
19391221,   0.65
19391222,   0.53
19391223,   0.74
19391226,  -0.05
19391227,   0.79
19391228,   1.83
19391229,   0.79
19391230,   0.56
19400102,   2.35
19400103,   1.01
19400104,   0.41
19400105,   0.32
19400106,   0.26
19400108,   0.18
19400109,   0.43
19400110,   0.56
19400111,  -0.17
19400112,  -0.30
19400113,   0.52
19400115,   0.62
19400116,   0.25
19400117,   0.32
19400118,  -0.63
19400119,   0.64
19400120,   0.21
19400122,   0.20
19400123,   0.73
19400124,   2.14
19400125,   0.22
19400126,   0.26
19400127,   0.23
19400129,  -0.05
19400130,  -0.37
19400131,   0.09
19400201,   0.25
19400202,   0.41
19400203,   0.16
19400205,   0.28
19400206,   0.92
19400207,   0.60
19400208,   0.39
19400209,   1.07
19400210,   1.22
19400213,   0.53
19400214,   0.11
19400215,   0.39
19400216,   0.15
19400217,   0.49
19400219,   0.10
19400220,  -0.34
19400221,   0.50
19400223,   0.70
19400224,   1.03
19400226,   0.66
19400227,   0.29
19400228,   0.37
19400229,   0.13
19400301,   0.73
19400302,   0.44
19400304,  -0.08
19400305,   0.55
19400306,   0.76
19400307,   0.81
19400308,   0.74
19400309,   0.53
19400311,   0.45
19400312,   0.70
19400313,   0.20
19400314,   0.20
19400315,   0.19
19400316,  -0.14
19400318,  -0.06
19400319,   1.13
19400320,   1.99
19400321,   0.47
19400323,   0.37
19400325,  -0.25
19400326,   0.08
19400327,   1.53
19400328,   0.71
19400329,   0.57
19400330,   0.47
19400401,   0.21
19400402,   0.34
19400403,   0.77
19400404,   1.19
19400405,   1.03
19400406,  -0.45
19400408,   0.49
19400409,   2.33
19400410,   0.99
19400411,  -0.33
19400412,   0.73
19400413,   0.08
19400415,  -1.06
19400416,   1.79
19400417,  -0.40
19400418,   1.00
19400419,  -0.15
19400420,  -0.31
19400422,   0.69
19400423,   0.46
19400424,   1.28
19400425,  -0.27
19400426,   1.55
19400427,  -0.19
19400429,   0.39
19400430,   0.79
19400501,  -0.18
19400502,   0.11
19400503,  -0.22
19400504,   0.24
19400506,   0.12
19400507,   0.53
19400508,  -0.44
19400509,   0.71
19400510,   1.46
19400511,   0.65
19400513,  -0.57
19400514,  -0.38
19400515,   3.59
19400516,   7.95
19400517,  -1.51
19400518,   0.56
19400520,   3.48
19400521,  -3.58
19400522,   5.65
19400523,   2.49
19400524,   1.89
19400525,   3.05
19400527,   2.64
19400528,  -0.33
19400529,   2.70
19400531,   1.08
19400601,   0.10
19400603,  -0.33
19400604,   0.92
19400605,  -0.21
19400606,   1.22
19400607,   2.13
19400608,   0.65
19400610,  -0.15
19400611,   4.89
19400612,   1.90
19400613,   3.33
19400614,   1.63
19400615,   0.13
19400617,   1.77
19400618,   1.34
19400619,   0.83
19400620,   1.28
19400621,   0.78
19400622,   0.47
19400624,  -0.22
19400625,   1.98
19400626,   0.84
19400627,   0.57
19400628,  -0.26
19400629,   1.22
19400701,   1.49
19400702,   0.42
19400703,   0.33
19400705,  -0.04
19400706,   0.73
19400708,   0.71
19400709,   0.61
19400710,   0.76
19400711,   0.36
19400712,   0.90
19400713,   0.40
19400715,   0.29
19400716,   0.93
19400717,   0.81
19400718,   0.47
19400719,   0.43
19400720,   0.54
19400722,   0.56
19400723,   0.56
19400724,   0.84
19400725,   0.65
19400726,   0.92
19400727,   0.71
19400729,  -0.09
19400730,   0.58
19400731,   1.25
19400801,   0.71
19400802,   0.13
19400803,   0.46
19400805,   0.90
19400806,   0.99
19400807,   0.76
19400808,   0.39
19400809,   0.47
19400810,  -0.12
19400812,   0.60
19400813,   2.38
19400814,   1.08
19400815,   0.32
19400816,   0.92
19400817,   0.67
19400819,   1.01
19400820,   0.74
19400821,   0.28
19400822,   0.22
19400823,   0.44
19400824,   0.49
19400826,   0.14
19400827,   0.69
19400828,   1.25
19400829,   0.65
19400830,   0.39
19400831,   0.50
19400903,   0.47
19400904,  -0.75
19400905,   0.25
19400906,   1.48
19400907,   0.41
19400909,   4.15
19400910,   0.80
19400911,   1.20
19400912,   1.25
19400913,   0.20
19400914,   0.30
19400916,  -0.03
19400917,   0.57
19400918,   0.23
19400919,   0.68
19400920,   0.07
19400921,   0.17
19400923,  -1.17
19400924,   1.49
19400925,  -0.05
19400926,   1.02
19400927,   1.25
19400928,   0.99
19400930,   0.13
19401001,   0.73
19401002,  -0.26
19401003,   0.37
19401004,   1.03
19401005,   0.85
19401007,   1.12
19401008,   1.86
19401009,   0.36
19401010,   0.06
19401011,  -0.11
19401014,   0.23
19401015,   0.75
19401016,   0.40
19401017,  -0.26
19401018,   0.74
19401019,   0.73
19401021,   0.32
19401022,  -0.06
19401023,  -0.36
19401024,   1.01
19401025,  -0.09
19401026,   0.07
19401028,   0.62
19401029,   0.02
19401030,  -0.12
19401031,  -0.36
19401101,   0.99
19401102,   0.65
19401104,   0.86
19401106,   3.62
19401107,  -1.56
19401108,   1.54
19401109,  -2.90
19401112,   1.21
19401113,   0.73
19401114,  -1.58
19401115,   1.70
19401116,   1.75
19401118,  -0.04
19401119,   0.48
19401120,   1.61
19401122,   0.14
19401123,   0.38
19401125,   0.22
19401126,   0.55
19401127,   1.65
19401128,   0.30
19401129,   0.31
19401130,   0.59
19401202,   0.41
19401203,   0.38
19401204,   0.14
19401205,  -0.15
19401206,   0.58
19401207,   0.75
19401209,   0.20
19401210,  -0.18
19401211,   0.49
19401212,   0.70
19401213,   0.93
19401214,   0.28
19401216,   0.40
19401217,   0.30
19401218,   0.37
19401219,  -0.02
19401220,   0.37
19401221,   0.41
19401223,   0.12
19401224,   0.54
19401226,   0.23
19401227,   0.07
19401228,   0.99
19401230,   0.82
19401231,   1.13
19410102,   1.53
19410103,   1.14
19410104,   0.95
19410106,   0.34
19410107,   0.33
19410108,   0.78
19410109,   0.15
19410110,   0.28
19410111,   0.25
19410113,   0.62
19410114,   0.87
19410115,   0.52
19410116,   1.01
19410117,   0.21
19410118,   0.79
19410120,   0.56
19410121,  -0.04
19410122,   0.44
19410123,   0.21
19410124,   0.43
19410125,   0.43
19410127,   0.48
19410128,   0.47
19410129,   0.07
19410130,  -0.49
19410131,   0.99
19410201,  -0.01
19410203,   0.49
19410204,   0.83
19410205,   2.70
19410206,   0.51
19410207,  -0.07
19410208,   0.55
19410210,   0.39
19410211,  -0.18
19410213,  -0.48
19410214,  -1.81
19410215,   1.68
19410217,   1.56
19410218,   0.10
19410219,  -0.39
19410220,   3.49
19410221,   0.84
19410224,   0.79
19410225,   0.57
19410226,   0.99
19410227,   0.72
19410228,   0.98
19410301,   0.77
19410303,   0.80
19410304,   0.86
19410305,   0.75
19410306,   1.06
19410307,   0.34
19410308,   0.37
19410310,   0.30
19410311,   1.41
19410312,   0.68
19410313,   0.57
19410314,   0.25
19410315,  -0.29
19410317,   0.73
19410318,   0.22
19410319,   0.87
19410320,   0.76
19410321,   0.68
19410322,   1.09
19410324,   0.23
19410325,   0.19
19410326,   0.05
19410327,   0.29
19410328,   0.75
19410329,   0.46
19410331,   0.53
19410401,  -0.26
19410402,   0.57
19410403,   0.15
19410404,   0.78
19410405,   0.53
19410407,   0.64
19410408,   1.04
19410409,   0.01
19410410,   0.44
19410412,  -0.36
19410414,   0.36
19410415,   0.30
19410416,   0.41
19410417,   0.64
19410418,  -0.55
19410419,  -0.07
19410421,   0.37
19410422,   0.56
19410423,   1.17
19410424,   1.15
19410425,   0.35
19410426,   0.59
19410428,   0.48
19410429,   0.92
19410430,  -0.45
19410501,   0.45
19410502,   0.51
19410503,  -0.23
19410505,   0.00
19410506,  -0.55
19410507,   0.98
19410508,   0.19
19410509,   0.67
19410510,  -0.22
19410512,   0.68
19410513,   0.88
19410514,   0.66
19410515,   2.16
19410516,   0.14
19410517,  -0.19
19410519,   0.59
19410520,  -0.58
19410521,   0.38
19410522,   1.07
19410523,   0.30
19410524,   0.22
19410526,   0.49
19410527,   0.46
19410528,   0.21
19410529,   0.42
19410531,   0.11
19410602,   0.27
19410603,  -0.04
19410604,   0.39
19410605,   0.41
19410606,   0.29
19410607,   0.25
19410609,   0.72
19410610,   0.48
19410611,   0.33
19410612,   0.85
19410613,   1.34
19410614,   0.40
19410616,  -0.06
19410617,   0.04
19410618,   0.52
19410619,   0.52
19410620,   0.54
19410621,   0.41
19410623,  -0.01
19410624,   1.26
19410625,   0.40
19410626,   0.18
19410627,   0.58
19410628,   0.52
19410630,   0.38
19410701,   0.26
19410702,   0.85
19410703,  -0.14
19410705,   0.31
19410707,   0.49
19410708,   1.23
19410709,   0.92
19410710,   0.61
19410711,   0.50
19410712,   0.04
19410714,   0.28
19410715,   0.57
19410716,   1.24
19410717,   0.98
19410718,   0.10
19410719,   0.10
19410721,  -0.39
19410722,   0.71
19410723,   0.14
19410724,   0.23
19410725,   0.54
19410726,  -0.77
19410728,  -0.32
19410729,   0.79
19410730,  -0.13
19410731,   0.09
19410801,   0.16
19410802,   0.32
19410804,   0.27
19410805,   0.87
19410806,   0.29
19410807,   0.45
19410808,   0.82
19410809,   1.19
19410811,   0.68
19410812,  -0.02
19410813,   0.39
19410814,   0.63
19410815,   0.36
19410816,   0.78
19410818,   0.15
19410819,   0.41
19410820,   0.33
19410821,   0.67
19410822,   0.78
19410823,   0.42
19410825,   0.08
19410826,   0.62
19410827,   0.80
19410828,   0.49
19410829,   0.36
19410830,   0.50
19410902,   0.41
19410903,   0.78
19410904,   0.25
19410905,  -0.03
19410906,   0.11
19410908,  -0.10
19410909,   1.08
19410910,   0.27
19410911,  -0.04
19410912,   0.17
19410913,   0.27
19410915,  -0.16
19410916,   0.16
19410917,   0.12
19410918,   1.06
19410919,   0.90
19410920,   0.63
19410922,  -0.27
19410923,  -0.07
19410924,   0.92
19410925,   0.35
19410926,   0.47
19410927,   0.67
19410929,   0.51
19410930,   0.59
19411001,   0.36
19411002,   0.74
19411003,   0.50
19411004,   0.35
19411006,   0.01
19411007,   0.34
19411008,   0.22
19411009,  -0.33
19411010,   0.76
19411011,   0.69
19411014,  -0.62
19411015,   0.11
19411016,  -0.45
19411017,   1.38
19411018,   1.38
19411020,  -0.38
19411021,   0.83
19411022,   0.21
19411023,   0.21
19411024,   0.59
19411025,   0.72
19411027,  -0.17
19411028,   0.27
19411029,  -0.10
19411030,   0.26
19411031,  -0.08
19411101,   0.49
19411103,  -0.59
19411105,   0.27
19411106,   0.02
19411107,  -0.33
19411108,   0.30
19411110,  -0.08
19411112,   0.43
19411113,  -0.02
19411114,   0.74
19411115,   0.46
19411117,   0.18
19411118,   0.37
19411119,   1.11
19411121,   0.29
19411122,   0.20
19411124,   0.22
19411125,   0.66
19411126,   0.25
19411127,   0.48
19411128,   0.09
19411129,   0.69
19411201,   0.28
19411202,   0.84
19411203,   0.81
19411204,   0.65
19411205,   0.72
19411206,  -0.15
19411208,   0.49
19411209,  -1.18
19411210,   1.93
19411211,   4.29
19411212,   0.36
19411213,   0.65
19411215,  -0.32
19411216,  -0.68
19411217,  -0.75
19411218,  -0.19
19411219,   0.66
19411220,   0.34
19411222,   0.61
19411223,   0.85
19411224,   1.05
19411226,  -0.23
19411227,   1.13
19411229,  -0.44
19411230,   3.46
19411231,   1.32
19420102,   3.82
19420103,   0.23
19420105,   1.61
19420106,   1.44
19420107,  -0.63
19420108,  -0.11
19420109,  -0.83
19420110,   0.45
19420112,  -0.08
19420113,   0.16
19420114,   0.85
19420115,   0.53
19420116,   0.26
19420117,   0.64
19420119,  -0.76
19420120,  -0.09
19420121,   1.57
19420122,  -0.40
19420123,   0.38
19420124,  -0.30
19420126,  -0.67
19420127,   0.31
19420128,   0.35
19420129,   0.40
19420130,   0.58
19420131,   0.66
19420202,   0.42
19420203,   0.90
19420204,   0.09
19420205,   0.26
19420206,   0.36
19420207,   0.30
19420209,   0.81
19420210,   1.13
19420211,   0.62
19420213,   0.21
19420214,   0.42
19420216,   0.37
19420217,   0.47
19420218,   0.25
19420219,   0.15
19420220,   0.23
19420221,   0.54
19420224,   0.31
19420225,   0.49
19420226,   0.79
19420227,   0.86
19420228,   0.43
19420302,   0.62
19420303,   0.59
19420304,   0.28
19420305,  -0.03
19420306,  -0.39
19420307,   1.04
19420309,  -0.01
19420310,   0.24
19420311,   0.01
19420312,   0.95
19420313,  -0.02
19420314,   0.39
19420316,   0.21
19420317,   1.18
19420318,   1.22
19420319,   0.59
19420320,   0.23
19420321,   0.03
19420323,   0.20
19420324,   0.64
19420325,   0.16
19420326,   0.38
19420327,   0.67
19420328,   0.33
19420330,   0.61
19420331,   0.33
19420401,   0.38
19420402,   0.69
19420404,   0.62
19420406,   0.10
19420407,   0.83
19420408,   0.56
19420409,   0.94
19420410,   0.20
19420411,   0.29
19420413,   0.67
19420414,  -0.13
19420415,   0.28
19420416,   0.15
19420417,  -0.19
19420418,   1.34
19420420,   0.62
19420421,   1.29
19420422,   0.61
19420423,   0.36
19420424,   1.23
19420425,   0.30
19420427,   0.65
19420428,   0.44
19420429,   2.07
19420430,   1.75
19420501,   0.50
19420502,   0.44
19420504,   0.55
19420505,   0.90
19420506,   0.68
19420507,   0.31
19420508,   0.82
19420509,   0.67
19420511,  -0.11
19420512,   1.13
19420513,   0.63
19420514,   0.06
19420515,   0.79
19420516,   0.48
19420518,   0.16
19420519,  -0.15
19420520,  -0.48
19420521,  -0.10
19420522,   0.86
19420523,   0.41
19420525,   0.03
19420526,   0.30
19420527,   0.78
19420528,   0.46
19420529,   0.13
19420601,   0.13
19420602,  -0.76
19420603,   0.71
19420604,   0.21
19420605,   1.37
19420606,   0.34
19420608,   0.59
19420609,   1.11
19420610,   0.85
19420611,   0.45
19420612,   0.75
19420613,   0.13
19420615,   0.33
19420616,   0.54
19420617,   0.37
19420618,   0.87
19420619,   1.32
19420620,   0.63
19420622,   1.27
19420623,   0.74
19420624,   0.14
19420625,   0.66
19420626,   0.52
19420627,   0.50
19420629,   1.10
19420630,   0.43
19420701,   0.95
19420702,   0.51
19420703,   0.72
19420706,   0.28
19420707,   1.37
19420708,  -0.09
19420709,   0.81
19420710,   0.39
19420711,   1.07
19420713,   1.18
19420714,   0.17
19420715,   0.99
19420716,   0.67
19420717,   1.28
19420718,   0.69
19420720,   0.20
19420721,   0.36
19420722,   0.27
19420723,   1.27
19420724,   0.19
19420725,   0.60
19420727,   0.08
19420728,   0.73
19420729,   0.50
19420730,   0.45
19420731,   0.14
19420801,   0.77
19420803,   0.22
19420804,   0.35
19420805,   0.72
19420806,   0.27
19420807,   0.63
19420808,   0.22
19420810,   0.14
19420811,   0.75
19420812,   0.34
19420813,   0.29
19420814,   0.92
19420815,   0.52
19420817,   0.55
19420818,  -0.40
19420819,   0.46
19420820,   1.00
19420821,   0.55
19420822,   0.30
19420824,   0.56
19420825,   1.04
19420826,   1.07
19420827,   0.45
19420828,   0.60
19420829,   1.13
19420831,   0.47
19420901,   0.63
19420902,   0.77
19420903,   0.28
19420904,   0.44
19420905,   0.42
19420908,   0.42
19420909,   0.14
19420910,   0.40
19420911,   0.39
19420912,   0.53
19420914,   0.23
19420915,   0.57
19420916,   0.07
19420917,   0.26
19420918,   1.13
19420919,  -0.07
19420921,   0.23
19420922,   0.40
19420923,   0.44
19420924,   0.89
19420925,   0.89
19420926,   1.31
19420928,   0.14
19420929,   0.71
19420930,   0.86
19421001,  -0.30
19421002,  -0.80
19421003,   0.15
19421005,   0.06
19421006,   0.49
19421007,   0.06
19421008,  -0.73
19421009,   0.46
19421010,  -0.07
19421013,  -0.39
19421014,   0.69
19421015,   1.71
19421016,  -0.11
19421017,   0.44
19421019,  -0.26
19421020,  -0.03
19421021,   0.49
19421022,   0.07
19421023,   0.61
19421024,   0.14
19421026,  -0.46
19421027,   1.67
19421028,   0.65
19421029,   0.08
19421030,   0.13
19421031,   0.54
19421102,   0.17
19421104,   0.21
19421105,   0.54
19421106,   0.55
19421107,   0.33
19421109,  -0.06
19421110,   0.11
19421112,   0.34
19421113,   0.37
19421114,   0.43
19421116,   0.60
19421117,   0.13
19421118,   0.43
19421119,   0.58
19421120,   0.58
19421121,  -0.49
19421123,  -0.50
19421124,  -0.09
19421125,   0.05
19421127,  -0.33
19421128,  -0.03
19421130,   0.05
19421201,   0.23
19421202,   0.35
19421203,   1.30
19421204,  -0.03
19421205,   0.25
19421207,  -0.24
19421208,   0.36
