,LT_Rev
19390619,  -0.54
19390620,   0.22
19390621,   0.00
19390622,   0.70
19390623,   0.03
19390624,   0.03
19390626,   0.71
19390627,   0.48
19390628,   0.41
19390629,   0.94
19390630,   0.14
19390701,  -0.33
19390703,  -0.55
19390705,  -0.34
19390706,  -0.22
19390707,   0.22
19390708,  -0.04
19390710,  -0.13
19390711,   0.18
19390712,  -0.48
19390713,  -0.61
19390714,  -0.10
19390715,  -0.14
19390717,  -0.42
19390718,  -0.72
19390719,  -0.04
19390720,   0.46
19390721,  -1.05
19390722,  -0.86
19390724,   0.96
19390725,   0.45
19390726,  -0.20
19390727,   0.53
19390728,  -0.05
19390729,  -0.10
19390731,  -0.06
19390801,  -0.02
19390802,   0.56
19390803,   0.20
19390804,   0.87
19390805,  -0.47
19390807,   0.10
19390808,   0.30
19390809,   0.34
19390810,   0.36
19390811,   0.05
19390812,  -0.19
19390814,  -0.77
19390815,  -0.14
19390816,   0.83
19390817,   0.34
19390818,   0.84
19390819,  -0.20
19390821,   0.82
19390822,  -1.51
19390823,   0.84
19390824,  -0.13
19390825,  -1.23
19390826,  -0.79
19390828,   0.26
19390829,  -0.28
19390830,   0.03
19390831,   0.18
19390901,  -3.25
19390902,  -1.28
19390905,   0.56
19390906,   1.53
19390907,  -0.92
19390908,   0.05
19390909,   0.06
19390911,  -0.02
19390912,  -0.09
19390913,   0.87
19390914,  -0.81
19390915,  -0.29
19390916,   0.99
19390918,  -0.18
19390919,  -1.84
19390920,   0.76
19390921,   0.21
19390922,   0.03
19390923,   0.26
19390925,  -0.36
19390926,   1.73
19390927,  -0.07
19390928,   0.25
19390929,  -0.48
19390930,   0.02
19391002,  -0.25
19391003,  -0.30
19391004,  -0.43
19391005,  -0.30
19391006,   0.49
19391007,   0.21
19391009,  -0.38
19391010,  -0.60
19391011,  -0.25
19391013,  -0.43
19391014,   0.23
19391016,  -0.43
19391017,  -0.06
19391018,  -0.34
19391019,  -0.48
19391020,  -0.44
19391021,  -0.11
19391023,   0.06
19391024,  -0.78
19391025,  -0.46
19391026,   0.98
19391027,   0.16
19391028,   0.21
19391030,  -0.49
19391031,   0.04
19391101,  -0.55
19391102,  -0.51
19391103,  -0.66
19391104,   0.05
19391106,   0.29
19391108,   0.08
19391109,  -0.15
19391110,  -0.56
19391113,   0.37
19391114,   0.12
19391115,  -0.54
19391116,  -0.11
19391117,  -0.07
19391118,  -0.65
19391120,  -0.25
19391121,  -0.11
19391122,  -0.70
19391124,  -0.15
19391125,  -0.02
19391127,  -0.42
19391128,  -0.52
19391129,  -0.32
19391130,  -0.18
19391201,  -0.09
19391202,   0.61
19391204,  -0.56
19391205,  -0.35
19391206,   0.19
19391207,   0.10
19391208,  -0.31
19391209,  -0.32
19391211,  -0.90
19391212,   0.26
19391213,  -0.03
19391214,  -0.51
19391215,  -0.43
19391216,   0.05
19391218,  -0.30
19391219,  -0.60
19391220,  -0.03
19391221,  -0.15
19391222,   0.18
19391223,   0.31
19391226,  -0.40
19391227,   0.67
19391228,   0.79
19391229,   0.21
19391230,   0.64
19400102,   1.01
19400103,   0.67
19400104,   0.41
19400105,  -0.23
19400106,   0.64
19400108,  -0.06
19400109,  -0.23
19400110,   0.34
19400111,   0.20
19400112,  -0.14
19400113,  -0.28
19400115,   0.31
19400116,   0.20
19400117,  -0.13
19400118,  -0.02
19400119,  -0.55
19400120,   0.17
19400122,  -0.36
19400123,  -0.04
19400124,   0.71
19400125,  -0.44
19400126,  -0.58
19400127,   0.41
19400129,   0.11
19400130,  -0.29
19400131,  -0.23
19400201,   0.07
19400202,   0.10
19400203,   0.28
19400205,  -0.40
19400206,   0.52
19400207,  -0.05
19400208,   1.32
19400209,   0.17
19400210,  -0.73
19400213,  -0.66
19400214,  -0.42
19400215,   0.46
19400216,   0.08
19400217,   0.53
19400219,  -0.25
19400220,  -0.10
19400221,   0.20
19400223,  -0.54
19400224,  -0.85
19400226,  -0.73
19400227,   0.01
19400228,  -0.27
19400229,  -0.06
19400301,  -0.37
19400302,   0.09
19400304,  -0.21
19400305,   0.15
19400306,   1.23
19400307,  -0.09
19400308,  -0.20
19400309,   0.80
19400311,  -0.01
19400312,   0.20
19400313,  -0.24
19400314,  -0.53
19400315,  -1.05
19400316,  -0.16
19400318,  -0.57
19400319,   0.76
19400320,   0.63
19400321,   0.16
19400323,  -0.08
19400325,  -0.63
19400326,  -0.01
19400327,   1.32
19400328,  -0.44
19400329,   1.31
19400330,   1.21
19400401,  -0.82
19400402,   0.57
19400403,   3.14
19400404,   0.19
19400405,   0.02
19400406,   0.69
19400408,   0.55
19400409,  -2.14
19400410,  -0.46
19400411,   0.12
19400412,  -0.80
19400413,   0.05
19400415,   0.50
19400416,  -1.53
19400417,   0.56
19400418,  -1.00
19400419,   0.28
19400420,   0.65
19400422,   0.42
19400423,   0.24
19400424,  -0.14
19400425,   0.23
19400426,  -1.19
19400427,  -0.31
19400429,   0.54
19400430,  -0.09
19400501,  -1.11
19400502,   0.29
19400503,  -0.27
19400504,  -0.24
19400506,  -0.20
19400507,   0.01
19400508,  -0.05
19400509,   0.68
19400510,  -2.84
19400511,   0.62
19400513,  -5.34
19400514,  -3.38
19400515,  -1.03
19400516,   4.99
19400517,  -3.38
19400518,  -1.14
19400520,   1.98
19400521,  -2.21
19400522,  -0.69
19400523,   0.52
19400524,   0.87
19400525,   1.11
19400527,   1.57
19400528,  -2.27
19400529,   0.65
19400531,  -0.89
19400601,   0.26
19400603,  -1.11
19400604,   0.14
19400605,  -1.34
19400606,   1.02
19400607,   0.38
19400608,  -0.81
19400610,  -1.66
19400611,   1.28
19400612,   3.85
19400613,  -2.42
19400614,   0.19
19400615,  -0.21
19400617,   0.82
19400618,   0.91
19400619,  -0.46
19400620,  -0.43
19400621,  -0.13
19400622,   1.70
19400624,  -0.15
19400625,  -2.12
19400626,   0.74
19400627,   1.26
19400628,   0.52
19400629,  -0.41
19400701,  -1.00
19400702,   0.02
19400703,   0.33
19400705,   0.10
19400706,   0.39
19400708,  -0.72
19400709,   0.67
19400710,   0.58
19400711,  -0.06
19400712,  -0.31
19400713,  -0.13
19400715,   0.64
19400716,  -0.31
19400717,  -0.41
19400718,  -0.56
19400719,   0.30
19400720,   0.04
19400722,   0.01
19400723,  -0.28
19400724,  -0.14
19400725,  -0.29
19400726,   0.00
19400727,   0.22
19400729,  -0.26
19400730,   0.57
19400731,  -0.18
19400801,  -0.42
19400802,  -0.53
19400803,   0.61
19400805,  -0.48
19400806,  -0.26
19400807,  -0.26
19400808,   0.13
19400809,   0.14
19400810,   0.00
19400812,  -0.08
19400813,  -0.75
19400814,  -0.21
19400815,  -0.06
19400816,   0.08
19400817,   0.47
19400819,  -0.65
19400820,   0.11
19400821,  -0.31
19400822,  -0.07
19400823,  -0.76
19400824,   0.37
19400826,  -0.13
19400827,   0.34
19400828,   0.83
19400829,  -0.01
19400830,   0.35
19400831,   0.83
19400903,  -0.47
19400904,   0.61
19400905,   0.27
19400906,  -0.25
19400907,  -0.02
19400909,  -1.57
19400910,  -0.39
19400911,  -0.39
19400912,  -0.28
19400913,   0.19
19400914,   0.21
19400916,   0.14
19400917,   0.12
19400918,   0.14
19400919,  -0.46
19400920,  -0.66
19400921,   0.25
19400923,   0.76
19400924,  -0.54
19400925,  -0.37
19400926,  -0.34
19400927,  -1.31
19400928,   0.82
19400930,   0.06
19401001,   0.55
19401002,   0.77
19401003,   0.06
19401004,  -0.14
19401005,   0.05
19401007,  -0.06
19401008,  -1.27
19401009,  -0.47
19401010,   0.25
19401011,  -0.04
19401014,  -0.06
19401015,   0.64
19401016,   0.45
19401017,   0.55
19401018,   0.52
19401019,   0.21
19401021,  -0.06
19401022,   0.80
19401023,  -0.11
19401024,  -0.26
19401025,   0.76
19401026,   0.86
19401028,  -0.61
19401029,   0.16
19401030,   0.87
19401031,   1.23
19401101,  -0.16
19401102,  -0.30
19401104,   1.09
19401106,  -4.97
19401107,   3.06
19401108,   0.03
19401109,   0.60
19401112,  -0.66
19401113,  -0.30
19401114,  -0.29
19401115,  -1.24
19401116,  -0.36
19401118,  -0.52
19401119,   0.16
19401120,  -1.09
19401122,   0.36
19401123,   0.09
19401125,  -0.41
19401126,  -0.64
19401127,  -1.56
19401128,   0.63
19401129,  -0.43
19401130,  -0.08
19401202,  -0.44
19401203,  -0.77
19401204,  -1.16
19401205,  -0.44
19401206,   0.40
19401207,  -0.05
19401209,  -0.21
19401210,  -0.56
19401211,   0.37
19401212,   0.08
19401213,   1.08
19401214,  -0.25
19401216,  -0.74
19401217,  -0.72
19401218,  -0.91
19401219,  -0.32
19401220,  -0.01
19401221,  -0.25
19401223,   0.22
19401224,  -0.15
19401226,  -0.27
19401227,  -0.37
19401228,   0.25
19401230,   0.66
19401231,   0.49
19410102,   0.25
19410103,   1.19
19410104,   0.34
19410106,   0.64
19410107,  -0.71
19410108,   1.43
19410109,   1.72
19410110,   0.48
19410111,  -0.65
19410113,   0.42
19410114,  -1.30
19410115,   0.01
19410116,  -1.09
19410117,   0.12
19410118,   0.23
19410120,  -0.50
19410121,  -0.65
19410122,   1.06
19410123,  -0.17
19410124,   0.14
19410125,  -0.17
19410127,   0.35
19410128,  -0.24
19410129,  -1.40
19410130,  -1.50
19410131,   0.61
19410201,  -1.43
19410203,   0.05
19410204,   0.76
19410205,   1.19
19410206,  -0.20
19410207,  -0.65
19410208,   0.24
19410210,  -0.18
19410211,  -0.79
19410213,  -1.17
19410214,  -1.61
19410215,   0.34
19410217,   1.12
19410218,  -0.53
19410219,  -0.55
19410220,   1.77
19410221,  -0.07
19410224,  -0.35
19410225,   0.23
19410226,  -0.09
19410227,  -0.15
19410228,   1.39
19410301,  -0.16
19410303,  -1.50
19410304,  -0.16
19410305,   0.64
19410306,   1.12
19410307,  -0.56
19410308,   0.12
19410310,   0.84
19410311,  -0.31
19410312,  -0.28
19410313,  -0.11
19410314,  -0.04
19410315,   0.88
19410317,   0.03
19410318,  -0.51
19410319,  -0.15
19410320,   0.29
19410321,  -1.43
19410322,   0.45
19410324,  -0.33
19410325,  -0.14
19410326,   0.17
19410327,   0.11
19410328,  -0.07
19410329,   0.26
19410331,   0.76
19410401,   0.20
19410402,   0.13
19410403,   2.80
19410404,   0.01
19410405,  -0.75
19410407,  -0.62
19410408,  -3.11
19410409,  -0.39
19410410,   0.00
19410412,  -0.34
19410414,   0.10
19410415,  -0.89
19410416,   0.55
19410417,   0.30
19410418,  -0.82
19410419,  -0.28
19410421,  -0.29
19410422,   0.56
19410423,   1.00
19410424,   1.22
19410425,  -0.66
19410426,  -0.04
19410428,   0.31
19410429,   0.77
19410430,  -0.73
19410501,   0.00
19410502,   0.91
19410503,   0.71
19410505,   0.60
19410506,   2.03
19410507,  -0.66
19410508,   0.06
19410509,   0.63
19410510,   1.24
19410512,  -0.86
19410513,  -0.99
19410514,  -0.43
19410515,  -1.40
19410516,   0.04
19410517,   0.82
19410519,  -0.50
19410520,   1.45
19410521,  -0.59
19410522,  -0.95
19410523,  -0.26
19410524,   0.49
19410526,  -0.85
19410527,   0.35
19410528,  -0.17
19410529,   0.34
19410531,  -0.59
19410602,  -0.57
19410603,   0.21
19410604,  -0.74
19410605,   0.01
19410606,  -0.23
19410607,   0.15
19410609,   0.29
19410610,   0.19
19410611,  -0.27
19410612,   0.50
19410613,  -0.58
19410614,   0.47
19410616,  -0.43
19410617,   0.25
19410618,   0.28
19410619,  -0.66
19410620,  -0.50
19410621,   0.26
19410623,   0.89
19410624,  -0.40
19410625,   0.30
19410626,   0.23
19410627,  -0.24
19410628,  -0.37
19410630,  -0.07
19410701,   0.02
19410702,   0.19
19410703,   0.53
19410705,   0.01
19410707,   1.03
19410708,   1.84
19410709,   0.25
19410710,  -0.09
19410711,   0.42
19410712,   0.34
19410714,   0.45
19410715,   0.60
19410716,  -1.08
19410717,  -0.66
19410718,   0.21
19410719,   0.68
19410721,   2.78
19410722,  -0.73
19410723,  -0.16
19410724,   0.35
19410725,  -0.34
19410726,   0.92
19410728,   1.59
19410729,   0.49
19410730,   0.11
19410731,  -0.09
19410801,   0.60
19410802,   0.18
19410804,   0.36
19410805,  -1.05
19410806,  -0.20
19410807,  -0.23
19410808,  -0.78
19410809,  -1.20
19410811,  -1.05
19410812,   0.51
19410813,   0.43
19410814,   0.75
19410815,  -0.78
19410816,   0.07
19410818,   0.56
19410819,  -0.37
19410820,   0.93
19410821,  -0.23
19410822,  -0.27
19410823,   0.22
19410825,  -0.33
19410826,   0.37
19410827,   0.29
19410828,  -0.28
19410829,  -0.18
19410830,   0.59
19410902,  -0.12
19410903,  -0.32
19410904,  -0.85
19410905,   0.00
19410906,   0.26
19410908,   0.31
19410909,  -0.64
19410910,   0.30
19410911,   1.04
19410912,   0.21
19410913,   0.17
19410915,  -0.04
19410916,  -0.09
19410917,   0.64
19410918,  -0.23
19410919,  -1.46
19410920,  -0.30
19410922,  -0.15
19410923,   0.07
19410924,  -0.86
19410925,  -1.40
19410926,   0.63
19410927,   0.73
19410929,  -0.07
19410930,   0.23
19411001,  -0.25
19411002,  -0.05
19411003,   0.05
19411004,   0.36
19411006,  -0.47
19411007,  -1.17
19411008,  -0.31
19411009,  -1.54
19411010,   0.09
19411011,   0.58
19411014,  -1.12
19411015,  -0.02
19411016,  -1.82
19411017,   0.50
19411018,   1.02
19411020,  -0.07
19411021,   0.21
19411022,  -0.44
19411023,   1.13
19411024,   0.50
19411025,  -0.18
19411027,  -0.91
19411028,   0.57
19411029,  -0.44
19411030,   0.37
19411031,  -0.83
19411101,   0.60
19411103,  -0.47
19411105,   1.09
19411106,  -1.32
19411107,  -0.65
19411108,   0.07
19411110,  -0.96
19411112,  -1.30
19411113,  -0.06
19411114,   0.85
19411115,   0.83
19411117,  -0.24
19411118,   0.03
19411119,  -0.53
19411121,   1.24
19411122,  -0.22
19411124,   0.13
19411125,  -0.33
19411126,  -0.91
19411127,   0.24
19411128,   0.13
19411129,   0.62
19411201,  -0.65
19411202,   0.65
19411203,  -0.10
19411204,   0.66
19411205,  -0.70
19411206,   0.36
19411208,  -4.20
19411209,  -4.23
19411210,   0.91
19411211,   1.46
19411212,  -0.92
19411213,   0.68
19411215,   0.41
19411216,   0.81
19411217,  -1.47
19411218,   0.90
19411219,  -0.60
19411220,   0.73
19411222,  -1.15
19411223,  -1.23
19411224,   0.04
19411226,  -0.38
19411227,   0.18
19411229,  -1.66
19411230,   1.50
19411231,  -0.06
19420102,   3.89
19420103,   2.10
19420105,   0.03
19420106,  -0.87
19420107,   0.73
19420108,   0.86
19420109,   0.70
19420110,  -0.02
19420112,   0.22
19420113,   1.20
19420114,   0.20
19420115,  -0.11
19420116,  -0.31
19420117,   0.27
19420119,   0.82
19420120,   0.66
19420121,  -1.30
19420122,   0.39
19420123,   0.69
19420124,   0.74
19420126,   0.88
19420127,   0.01
19420128,  -0.43
19420129,   0.23
19420130,  -0.30
19420131,  -0.57
19420202,  -0.26
19420203,   0.11
19420204,   0.52
19420205,   0.38
19420206,  -0.91
19420207,   0.64
19420209,  -0.86
19420210,  -0.90
19420211,  -0.33
19420213,   0.42
19420214,   0.64
19420216,   0.18
19420217,  -0.86
19420218,   0.20
19420219,  -0.04
19420220,   0.44
19420221,  -0.05
19420224,   0.11
19420225,  -0.23
19420226,   0.77
19420227,  -0.45
19420228,   0.09
19420302,  -0.94
19420303,  -0.33
19420304,  -0.34
19420305,  -0.11
19420306,  -1.12
19420307,   0.81
19420309,  -0.05
19420310,   0.34
19420311,  -0.25
19420312,   0.42
19420313,   0.11
19420314,   0.26
19420316,  -0.12
19420317,   1.13
19420318,   0.34
19420319,   0.15
19420320,  -0.63
19420321,  -0.10
19420323,  -0.27
19420324,   0.14
19420325,  -0.21
19420326,   0.20
19420327,  -0.50
19420328,   0.23
19420330,   0.00
19420331,  -0.06
19420401,   0.34
19420402,   0.76
19420404,  -0.21
19420406,  -0.27
19420407,   0.35
19420408,  -0.07
19420409,  -0.71
19420410,   0.35
19420411,   0.52
19420413,  -0.19
19420414,  -1.40
19420415,   0.03
19420416,   0.02
19420417,   0.20
19420418,  -0.01
19420420,   0.44
19420421,   0.12
19420422,   0.10
19420423,  -0.53
19420424,   0.01
19420425,   0.70
19420427,   0.34
19420428,   0.12
19420429,   0.72
19420430,   0.33
19420501,  -0.07
19420502,   0.37
19420504,  -0.02
19420505,  -0.07
19420506,   0.09
19420507,  -0.02
19420508,  -0.10
19420509,   0.51
19420511,   0.25
19420512,  -0.89
19420513,   0.35
19420514,  -0.24
19420515,  -0.14
19420516,   0.13
19420518,   0.44
19420519,   0.58
19420520,   0.34
19420521,   0.47
19420522,   0.20
19420523,  -0.38
19420525,  -0.31
19420526,   0.26
19420527,  -0.19
19420528,  -0.04
19420529,  -0.33
19420601,   0.17
19420602,   0.59
19420603,  -0.95
19420604,   0.54
19420605,  -0.15
19420606,   0.33
19420608,   0.27
19420609,  -0.17
19420610,   0.00
19420611,  -0.40
19420612,   0.38
19420613,   0.37
19420615,   0.03
19420616,   0.49
19420617,   0.19
19420618,   0.01
19420619,  -0.15
19420620,  -0.11
19420622,  -0.76
19420623,   0.48
19420624,  -0.12
19420625,   0.40
19420626,  -0.68
19420627,   0.76
19420629,  -0.20
19420630,   0.12
19420701,  -0.01
19420702,   0.53
19420703,   0.52
19420706,   0.42
19420707,   0.36
19420708,   0.14
19420709,   0.11
19420710,   0.03
19420711,   0.35
19420713,  -0.32
19420714,  -0.01
19420715,   0.35
19420716,  -0.49
19420717,   0.09
19420718,   0.09
19420720,  -0.07
19420721,   0.17
19420722,   0.44
19420723,   0.25
19420724,  -0.24
19420725,   0.29
19420727,   0.15
19420728,   0.12
19420729,  -0.12
19420730,  -0.20
19420731,   0.25
19420801,   0.37
19420803,   0.02
19420804,   0.29
19420805,  -0.45
19420806,   0.04
19420807,  -0.44
19420808,  -0.03
19420810,  -0.04
19420811,  -0.03
19420812,   0.31
19420813,  -0.12
19420814,  -0.21
19420815,   0.05
19420817,   0.38
19420818,  -0.30
19420819,   0.40
19420820,   0.22
19420821,   0.01
19420822,  -0.13
19420824,  -0.30
19420825,  -0.49
19420826,  -0.46
19420827,   0.32
19420828,  -0.44
19420829,   0.14
19420831,  -0.19
19420901,  -0.47
19420902,   0.03
19420903,   0.08
19420904,  -0.30
19420905,   0.30
19420908,  -0.18
19420909,   0.20
19420910,  -0.23
19420911,  -0.36
19420912,   0.11
19420914,   0.21
19420915,   0.50
19420916,   0.05
19420917,   0.36
19420918,  -0.29
19420919,   0.55
19420921,  -0.09
19420922,   0.35
19420923,   0.59
19420924,   1.64
19420925,   0.17
19420926,  -0.41
19420928,  -0.23
19420929,  -0.38
19420930,  -0.50
19421001,   0.92
19421002,   1.89
19421003,   0.71
19421005,   0.41
19421006,   0.72
19421007,   0.32
19421008,   1.65
19421009,   0.34
19421010,   0.54
19421013,   0.86
19421014,   0.04
19421015,  -0.43
19421016,   0.49
19421017,  -0.22
19421019,   0.39
19421020,   0.08
19421021,  -0.22
19421022,   0.25
19421023,  -0.01
19421024,   0.06
19421026,   0.81
19421027,  -1.31
19421028,  -0.67
19421029,   0.24
19421030,   0.47
19421031,   0.76
19421102,   1.05
19421104,  -0.96
19421105,   0.16
19421106,   0.57
19421107,   0.74
19421109,   1.12
19421110,   0.40
19421112,   0.08
19421113,  -0.40
19421114,   0.27
19421116,  -0.74
19421117,  -0.60
19421118,  -0.25
19421119,  -0.14
19421120,   0.39
19421121,   0.51
19421123,  -0.43
19421124,  -0.24
19421125,  -0.08
19421127,   0.37
19421128,   0.31
19421130,  -0.65
19421201,  -0.27
19421202,   0.18
19421203,  -0.13
19421204,  -0.44
19421205,  -0.05
19421207,  -0.69
19421208,   0.59
19421209,  -0.61
19421210,   0.25
19421211,   0.04
19421212,   0.58
19421214,  -0.04
19421215,   0.04
19421216,   0.58
19421217,   2.04
19421218,  -0.24
19421219,   0.30
19421221,  -0.57
19421222,  -0.08
19421223,  -0.02
19421224,   0.41
19421226,   0.71
19421228,  -1.16
19421229,  -0.45
19421230,   0.00
19421231,   0.78
19430102,   1.21
19430104,   0.75
19430105,  -0.29
19430106,   0.24
19430107,   0.73
19430108,   1.08
19430109,   0.06
19430111,  -0.43
19430112,  -0.33
19430113,   0.68
19430114,   1.16
19430115,   0.21
19430116,   0.48
19430118,   0.37
19430119,  -1.03
19430120,   0.24
19430121,   1.23
19430122,   0.11
19430123,   0.23
19430125,   0.55
19430126,   0.72
19430127,   0.89
19430128,   0.44
19430129,   0.39
19430130,   0.01
19430201,   0.86
19430202,   0.48
19430203,  -0.59
19430204,   0.14
19430205,   0.47
19430206,  -0.05
19430208,  -0.63
19430209,   0.62
19430210,   1.38
19430211,   0.28
19430213,   0.89
19430215,   1.18
19430216,   0.02
19430217,   0.54
19430218,  -1.78
19430219,   0.29
19430220,   1.07
19430223,   0.77
19430224,   0.03
19430225,   0.52
19430226,  -0.14
19430227,   0.72
19430301,  -0.27
19430302,  -0.38
19430303,   1.84
19430304,   0.06
19430305,   0.58
19430306,   0.25
19430308,   0.02
19430309,  -0.95
19430310,   0.13
19430311,   2.25
19430312,   0.59
19430313,  -0.11
19430315,  -1.04
19430316,  -0.70
19430317,  -1.18
19430318,   0.35
19430319,  -0.45
19430320,   0.11
19430322,   0.66
19430323,   0.23
19430324,   0.34
19430325,   0.55
19430326,  -0.06
19430327,  -0.23
19430329,   0.82
19430330,   0.81
19430331,   0.18
19430401,   0.62
19430402,   0.69
19430403,   0.32
19430405,   1.78
19430406,   0.75
19430407,  -0.44
19430408,  -0.16
19430409,  -3.77
19430410,   0.41
19430412,   0.03
19430413,   0.45
19430414,   1.74
19430415,   0.23
19430416,  -0.49
19430417,   0.04
19430419,  -0.12
19430420,  -0.06
19430421,   1.07
19430422,   0.68
19430424,   0.19
19430426,  -0.08
19430427,  -0.42
19430428,  -0.36
19430429,   1.56
19430430,  -0.13
19430501,   1.19
19430503,   1.93
19430504,   0.22
19430505,   0.58
19430506,   0.51
19430507,  -1.41
19430508,   1.54
19430510,   1.26
19430511,  -0.14
19430512,  -0.50
19430513,  -0.50
19430514,  -0.16
19430515,   0.81
19430517,   0.41
19430518,  -0.20
19430519,   0.75
19430520,  -0.56
19430521,   0.27
19430522,  -0.09
19430524,  -0.41
19430525,   0.22
19430526,   0.35
19430527,   0.10
19430528,   0.18
19430529,   0.57
19430601,   0.31
19430602,  -0.23
19430603,   0.32
19430604,   0.17
19430605,   0.38
19430607,  -0.48
19430608,  -0.10
19430609,  -0.05
19430610,  -0.39
19430611,  -0.34
19430612,  -0.03
19430614,  -1.02
19430615,   0.41
19430616,   0.52
19430617,   0.02
19430618,  -0.17
19430619,  -0.18
19430621,  -0.31
19430622,   0.30
19430623,   0.47
19430624,   0.07
19430625,   0.46
19430626,   0.19
19430628,   0.26
19430629,  -0.78
19430630,   0.06
19430701,  -0.03
19430702,  -0.24
19430703,   0.52
19430706,  -0.17
19430707,  -0.18
19430708,   0.29
19430709,   0.42
19430710,   0.05
19430712,   0.65
19430713,  -0.09
19430714,   0.32
19430715,  -0.41
19430716,   0.08
19430717,  -0.01
19430719,  -0.05
19430720,  -0.68
19430721,  -0.22
19430722,   0.08
19430723,  -0.19
19430724,  -0.21
19430726,  -0.16
19430727,  -0.62
19430728,  -0.19
19430729,   1.10
19430730,  -1.01
19430731,  -0.21
19430802,  -0.77
19430803,   0.31
19430804,   0.25
19430805,   0.21
19430806,  -0.54
19430807,  -0.49
19430809,   0.62
19430810,   0.04
19430811,   0.02
19430812,   0.05
19430813,  -0.02
19430814,   0.21
19430816,   0.12
19430817,  -0.08
19430818,   0.23
19430819,  -0.07
19430820,   0.22
19430821,  -0.23
19430823,  -0.45
19430824,  -0.07
19430825,   0.23
19430826,  -0.07
19430827,  -0.16
19430828,  -0.09
19430830,   0.06
19430831,   0.51
19430901,   0.79
19430902,  -0.11
19430903,   0.06
19430904,   0.20
19430907,  -0.07
19430908,   0.40
19430909,   0.86
19430910,   0.53
19430911,  -0.23
19430913,  -0.44
19430914,  -0.35
19430915,   0.15
19430916,   0.24
19430917,   0.65
19430918,   0.23
19430920,  -0.10
19430921,  -0.23
19430922,  -0.37
19430923,  -0.17
19430924,  -0.07
19430925,   0.24
19430927,  -0.54
19430928,   0.23
19430929,   0.23
19430930,   0.34
19431001,   0.10
19431002,  -0.16
19431004,  -0.66
19431005,  -0.24
19431006,  -0.44
19431007,  -0.58
19431008,   0.10
19431009,  -0.01
19431011,   0.25
19431013,  -0.19
19431014,   0.21
19431015,   0.24
19431016,  -0.18
19431018,  -0.28
19431019,   0.21
19431020,  -0.13
19431021,  -0.34
19431022,  -0.28
19431023,   0.06
19431025,  -0.12
19431026,  -0.08
19431027,   0.40
19431028,  -0.41
19431029,  -0.31
19431030,   0.22
19431101,  -0.49
19431103,  -0.49
19431104,  -0.55
19431105,   0.29
19431106,  -0.03
19431108,  -2.57
19431109,   0.71
19431110,   0.62
19431112,  -0.61
19431113,  -0.12
19431115,   0.26
19431116,  -0.32
19431117,  -0.48
19431118,  -0.12
19431119,   1.45
19431120,   0.51
19431122,  -0.17
19431123,  -0.43
19431124,  -0.67
19431126,  -0.62
19431127,   0.14
19431129,  -0.25
19431130,   0.05
19431201,   0.41
19431202,   0.09
19431203,   0.03
19431204,  -0.11
19431206,  -0.10
19431207,   0.28
19431208,   0.33
19431209,  -0.26
19431210,   0.32
19431211,   0.03
19431213,  -0.41
19431214,  -0.55
19431215,   0.36
19431216,   0.21
19431217,   0.42
19431218,   0.34
19431220,  -0.35
19431221,  -0.37
19431222,  -0.26
19431223,   0.00
19431224,   0.16
19431227,   0.04
19431228,  -0.12
19431229,   0.20
19431230,   0.43
19431231,   0.03
19440103,   0.03
19440104,   0.57
19440105,  -0.02
19440106,  -0.07
19440107,  -0.04
19440108,   0.00
19440110,  -0.01
19440111,   0.42
19440112,   0.06
19440113,   0.11
19440114,   0.33
19440115,   0.36
19440117,  -0.21
19440118,  -0.20
19440119,  -0.01
19440120,  -0.25
19440121,   0.06
19440122,   0.05
19440124,  -0.04
19440125,   0.09
19440126,   0.21
19440127,  -0.31
19440128,   0.05
19440129,  -0.04
19440131,   0.12
19440201,  -0.43
19440202,  -0.11
19440203,   0.16
19440204,   0.24
19440205,  -0.21
19440207,  -0.05
19440208,   0.12
19440209,  -0.15
19440210,  -0.21
19440211,   0.07
19440214,   0.10
19440215,  -0.43
19440216,  -0.07
19440217,  -0.12
19440218,   0.09
19440219,  -0.11
19440221,  -0.16
19440223,  -0.14
19440224,   0.15
19440225,   0.40
19440226,  -0.20
19440228,  -0.08
19440229,   0.46
19440301,  -0.36
19440302,   0.26
19440303,   0.13
19440304,   0.05
19440306,  -0.17
19440307,  -0.44
19440308,   0.15
19440309,  -0.20
19440310,  -0.44
19440311,  -0.51
19440313,  -0.17
19440314,   0.23
19440315,  -0.05
19440316,  -0.08
19440317,  -0.90
19440318,  -0.10
19440320,   0.18
19440321,  -0.20
19440322,  -0.10
19440323,   0.33
19440324,  -0.06
19440325,  -0.17
19440327,   0.18
19440328,   1.10
19440329,  -0.07
19440330,  -0.39
19440331,  -0.59
19440401,  -0.05
19440403,   0.69
19440404,  -0.20
19440405,  -0.09
19440406,  -0.15
19440408,  -0.26
19440410,   0.13
19440411,  -0.33
19440412,   0.32
19440413,   0.35
19440414,   0.24
19440415,  -0.08
19440417,   0.45
19440418,   1.01
19440419,   0.17
19440420,  -0.67
19440421,  -0.31
19440422,   0.23
19440424,   0.63
19440425,  -0.51
19440426,  -0.31
19440427,  -0.24
19440428,  -0.13
19440429,  -0.09
19440501,  -0.35
19440502,   0.22
19440503,  -0.38
19440504,   0.02
19440505,  -0.18
19440506,   0.25
19440508,  -0.29
19440509,  -0.07
19440510,   0.08
19440511,  -0.17
