date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
2017-02-09,809.559998,130.357819,134.139999,103.339996,821.359985,28.389717,13.42,66.940125,22.675291,33.349354,38.726437,21.709999,5.54,78.754463,33.632984,43.356159,106.409523,31.182896,84.851868,54.742767
2017-02-10,813.669983,130.062485,134.190002,102.360001,827.460022,28.514442,13.58,65.912956,22.636061,33.43491,38.792057,21.6,6.96,79.408821,32.966492,43.307697,106.379768,31.154001,84.657257,55.144928
2017-02-13,819.23999,131.214249,134.050003,103.099998,836.530029,28.821463,13.49,65.670692,22.949905,33.767647,38.107712,21.32,6.4,79.870728,32.359676,42.619511,107.381386,31.40439,85.776283,55.037033
2017-02-14,820.450012,132.917313,133.850006,101.589996,836.390015,29.051729,13.26,66.533134,23.597212,35.40279,38.201454,21.76,7.1,79.697517,32.638218,43.898964,107.976418,31.539219,87.148308,55.498051
2017-02-15,818.97998,133.399689,133.440002,101.550003,842.700012,29.118887,13.3,66.56221,24.107208,35.250683,38.548313,21.889999,7.58,80.024696,32.827221,44.509609,108.749947,32.271118,88.150566,55.77269
2017-02-16,824.159973,133.242172,133.839996,100.82,844.140015,29.214832,12.97,66.736633,24.107208,35.203148,38.670185,21.639999,7.39,79.197121,31.076437,43.976505,108.392937,32.377048,88.092194,55.645172
2017-02-17,828.070007,133.60643,133.529999,100.519997,845.070007,29.138079,13.13,67.221138,24.048363,35.383778,38.885799,21.879999,7.54,78.67749,31.106283,43.850506,108.511925,32.377048,87.800278,56.253319
2017-02-21,831.659973,134.571167,133.720001,102.120003,856.440002,29.281992,14.0,69.23671,24.30336,35.944668,39.120167,21.780001,8.06,78.802574,30.260733,44.567768,109.245796,32.377048,88.559273,56.439686
2017-02-22,830.76001,134.974777,136.119995,104.199997,855.609985,29.099699,14.28,69.488655,24.313169,35.973186,38.988918,21.870001,8.33,77.878769,29.773298,44.315758,108.531769,32.34816,88.607918,56.469112
2017-02-23,831.330017,134.403809,135.360001,102.459999,852.190002,29.032001,14.32,69.101044,24.107208,35.412296,39.326408,21.67,7.91,78.696724,28.788479,42.949066,109.820976,32.800785,88.676033,56.537773
2017-02-24,828.640015,134.531784,135.440002,102.949997,845.23999,29.196407,14.12,70.147598,23.763941,35.079567,39.710762,21.809999,7.74,78.023125,27.495287,44.160671,110.078819,32.993385,87.897583,56.380836
2017-02-27,829.280029,134.797562,136.410004,103.599998,848.640015,28.954636,15.2,69.517723,24.097401,35.431309,39.204536,21.5,8.04,78.465782,27.574865,44.732548,109.65239,33.01265,87.994888,55.694218
2017-02-28,823.210022,134.856659,135.539993,102.900002,845.039978,28.828911,14.46,68.732826,24.205284,35.022522,39.176411,20.620001,7.84,78.254066,27.475391,42.774593,109.543289,32.858566,88.179779,55.782494
2017-03-01,835.23999,137.613022,137.419998,104.040001,853.080017,29.196407,14.96,68.267685,25.085745,35.583416,39.410774,20.6,7.66,79.889977,27.78377,40.845715,111.377953,33.147472,91.079529,56.047333
2017-03-02,830.630005,136.795959,136.759995,103.190002,848.909973,29.196407,13.9,68.568085,24.820133,35.897133,39.4389,20.93,7.77,80.159431,27.326174,43.472473,110.406075,33.234146,89.658836,56.027718
2017-03-03,829.080017,137.603195,137.169998,103.309998,849.880005,29.128712,13.03,67.860695,25.026718,36.343945,39.382652,20.59,7.62,79.351089,27.196859,43.278618,110.812668,33.243778,90.301071,56.008099
2017-03-06,827.780029,137.170029,137.419998,102.309998,846.609985,29.012661,13.04,67.71534,24.839804,36.039738,39.335781,20.049999,7.52,79.707146,28.32094,42.541962,110.435829,33.080059,89.444763,55.596127
2017-03-07,831.909973,137.347229,137.300003,102.629997,846.02002,28.87727,13.05,67.70565,24.800455,35.668972,39.260784,19.690001,7.43,79.408821,27.763872,43.18169,110.039146,32.733376,88.948502,55.125305
2017-03-08,835.369995,136.835342,137.720001,103.220001,850.5,28.819241,13.22,68.135155,24.849644,35.793823,39.157661,19.139999,7.49,77.975006,27.395811,43.714794,110.058998,32.65633,88.753891,54.674107
2017-03-09,838.679993,136.520309,138.240005,103.239998,853.0,28.683851,13.33,68.193718,24.938183,35.371254,39.317032,19.15,8.01,78.590874,27.654448,43.46278,109.87056,32.791153,89.104195,54.134617
2017-03-10,843.25,136.973145,138.789993,103.389999,852.460022,29.283445,13.91,68.427994,24.89883,35.371254,39.701385,19.26,9.23,78.533142,27.385862,43.424015,110.287079,32.848938,88.821999,53.487244
2017-03-13,845.539978,137.032211,139.600006,105.18,854.590027,28.87727,14.28,68.281578,24.888992,35.409672,39.720139,19.049999,9.22,78.350296,27.953289,43.472473,110.604408,32.848938,88.899841,53.585335
2017-03-14,845.619995,136.825485,139.320007,104.25,852.530029,28.567799,14.1,69.033218,24.908669,35.496105,39.457649,19.02,8.8,77.936508,27.326132,43.007217,109.573051,32.954868,89.045807,53.232216
2017-03-15,847.200012,138.272614,139.720001,103.690002,852.969971,28.780558,13.98,68.896561,24.770945,35.620956,39.92638,19.459999,8.76,78.908432,27.9732,43.04599,111.090347,33.349709,89.259888,53.497051
2017-03-16,848.780029,138.499023,139.990005,105.629997,853.419983,28.770887,13.65,68.759888,24.810293,35.611351,39.785759,19.82,8.96,78.975792,27.565052,43.133228,111.734962,33.157108,89.17231,53.752079
2017-03-17,852.119995,137.809906,139.839996,105.610001,852.309998,28.896608,13.49,68.223007,24.456144,34.89106,39.945129,19.379999,9.05,78.908432,27.385862,44.33514,111.893639,33.051167,88.238159,54.713337
2017-03-20,848.400024,139.257034,139.940002,107.25,856.969971,28.761215,14.4,68.31086,24.042965,34.295612,39.76701,19.59,9.18,78.908432,27.594913,44.481621,111.477119,33.108959,87.605652,54.742767
2017-03-21,830.460022,137.662262,138.509995,105.089996,843.200012,28.422735,13.82,68.232773,22.646034,33.181553,39.448277,18.99,9.1,78.744843,27.296268,43.026573,109.791229,32.983757,85.036743,54.477932
2017-03-22,829.590027,139.217636,139.589996,106.089996,848.059998,28.558128,14.1,68.574425,22.567335,33.027893,39.04517,19.09,7.98,78.67749,26.679064,43.964054,110.525085,33.195625,85.172974,54.821236
2017-03-23,817.580017,138.725433,139.529999,108.25,847.380005,28.645166,13.79,68.193718,22.695221,32.903042,39.04517,18.98,8.19,78.773712,27.107124,43.573433,110.673836,33.022282,85.036743,54.782001
2017-03-24,814.429993,138.449783,140.339996,108.040001,845.609985,28.741875,13.7,67.949692,22.74441,33.191166,39.073296,19.66,8.5,78.167465,27.555096,43.798038,111.050682,32.743,84.939438,55.723644
2017-03-27,819.51001,138.68605,140.320007,108.080002,846.820007,28.47109,13.7,67.998497,22.655872,33.33522,38.89518,19.860001,9.43,78.186707,27.694462,45.116379,111.011017,32.916344,84.890793,56.135612
2017-03-28,820.919983,141.560593,141.759995,107.800003,856.0,28.645166,13.69,68.642754,23.09856,34.151554,38.960796,19.91,11.3,78.754463,27.6646,45.868317,111.536613,32.897083,86.214157,56.253319
2017-03-29,831.409973,141.875595,142.649994,109.510002,874.320007,28.703192,13.71,69.052727,22.970671,34.132347,38.857674,20.620001,11.5,78.927681,28.819363,46.649551,111.13002,33.060802,85.893051,56.439686
2017-03-30,831.5,141.688553,142.410004,108.849998,876.340027,28.88694,14.05,69.882462,23.482225,34.007496,39.148285,20.09,11.75,80.544334,28.480898,47.450321,111.734962,33.080059,86.632591,57.047825
2017-03-31,829.559998,141.42276,142.050003,107.830002,886.539978,28.819241,14.55,70.360771,23.206774,33.959476,38.951424,19.780001,11.49,78.918053,28.968687,47.997185,111.536613,32.945236,85.474625,57.27343
2017-04-03,838.549988,141.462143,142.279999,108.089996,891.51001,28.896608,14.64,70.116745,23.206774,32.816612,38.970173,19.65,11.76,78.975792,28.441078,47.391724,111.308525,32.974129,85.163246,57.322472
2017-04-04,834.570007,142.515488,141.729996,107.519997,906.830017,29.032001,14.16,70.29245,23.059212,32.912643,39.082668,19.309999,11.36,79.264481,29.625711,47.508911,111.159767,33.070435,85.447052,57.204765
2017-04-05,831.409973,141.777161,141.850006,107.440002,909.280029,28.983644,14.17,69.941025,22.793596,32.653339,38.913921,19.620001,11.39,79.418457,29.267334,46.844864,111.358505,32.925976,84.350967,57.106686
2017-04-06,827.880005,141.42276,141.169998,108.040001,898.280029,28.944965,13.27,69.72628,22.882135,32.807003,38.515488,20.27,11.65,79.880356,29.765078,46.864395,111.716217,32.848938,84.634773,56.81242
2017-04-07,824.669983,141.107742,140.779999,108.989998,894.880005,29.002987,13.52,71.161209,22.783758,32.374828,38.506001,19.860001,11.34,79.639778,29.337019,47.088997,111.527428,32.839302,84.341171,56.910507
2017-04-10,824.72998,140.940399,141.039993,111.699997,907.039978,29.022331,13.1,71.317398,22.646034,32.624531,38.306786,19.73,11.92,79.995827,29.745169,47.411259,111.606918,32.781528,84.047569,56.841843
