,0
2002-01-02,-491.52163450406397
2002-01-03,-486.17026327220935
2002-01-04,-431.72975509015396
2002-01-07,-454.0216022241548
2002-01-08,-435.7263370452959
2002-01-09,-475.7575079016176
2002-01-10,-449.21017552408017
2002-01-11,-439.9368235528567
2002-01-14,-478.6159947450649
2002-01-15,-467.83919200441557
2002-01-16,-456.4021129280244
2002-01-17,-421.15428091964725
2002-01-18,-497.19005403417543
2002-01-22,-494.1541553876985
2002-01-23,-490.6275774534819
2002-01-24,-476.25174295932595
2002-01-25,-460.00952573717944
2002-01-28,-581.6828255298605
2002-01-29,-475.57486817148566
2002-01-30,-477.75497656234705
2002-01-31,-480.43152825076066
2002-02-01,-487.9420618786129
2002-02-04,-503.2810308435598
2002-02-05,-532.176424868587
2002-02-06,-507.68029638690166
2002-02-07,-472.0397579583208
2002-02-08,-484.2557941501789
2002-02-11,-427.8363221864571
2002-02-12,-458.4265104881106
2002-02-13,-437.86432220905294
2002-02-14,-462.38889225476555
2002-02-15,-446.59537020602
2002-02-19,-469.33837510301737
2002-02-20,-489.657636191778
2002-02-21,-477.35535930270436
2002-02-22,-487.41381675219407
2002-02-25,-460.15997809906
2002-02-26,-476.1463779074833
2002-02-27,-473.40755057016145
2002-02-28,-533.273679107943
2002-03-01,-577.9644417701743
2002-03-04,-531.455942086374
2002-03-05,-455.9510670580811
2002-03-06,-464.1228735878953
2002-03-07,-459.1158723418084
2002-03-08,-450.92882715066315
2002-03-11,-439.4950729953785
2002-03-12,-423.04197554972455
2002-03-13,-422.4287206501947
2002-03-14,-474.1351167298764
2002-03-15,-429.75529002046983
2002-03-18,-432.3337675345018
2002-03-19,-469.016968628814
2002-03-20,-482.48665230726647
2002-03-21,-429.7363993461527
2002-03-22,-405.88085496980216
2002-03-25,-429.560616683696
2002-03-26,-441.8116764809764
2002-03-27,-423.6982682293685
2002-03-28,-412.1202261871696
2002-04-01,-424.64558277366996
2002-04-02,-415.7811142663468
2002-04-03,-487.0701766455438
2002-04-04,-451.0253102981802
2002-04-05,-443.30199298060666
2002-04-08,-457.6043512526827
2002-04-09,-466.14504582841994
2002-04-10,-448.67838581185424
2002-04-11,-457.19794322075796
2002-04-12,-451.48512080501763
2002-04-15,-486.57749846531175
2002-04-16,-500.4791170169973
2002-04-17,-508.50092016182623
2002-04-18,-456.1522896903088
2002-04-19,-452.7794469714696
2002-04-22,-474.9485240969135
2002-04-23,-508.96507149601166
2002-04-24,-481.66761318072656
2002-04-25,-488.3538142453524
2002-04-26,-487.09158087836425
2002-04-29,-482.4170610077806
2002-04-30,-453.03368914664736
2002-05-01,-473.2640583846925
2002-05-02,-435.4442544581733
2002-05-03,-477.93555615082744
2002-05-06,-467.40669451763347
2002-05-07,-572.9889905104559
2002-05-08,-435.28635430988794
2002-05-09,-444.4800822240008
2002-05-10,-468.7607886274813
2002-05-13,-465.3043443966114
2002-05-14,-522.792917872502
2002-05-15,-501.3282026505465
2002-05-16,-435.7328036210477
2002-05-17,-423.2926337730174
2002-05-20,-431.1997088342388
2002-05-21,-455.3743256156299
2002-05-22,-447.87992161526074
2002-05-23,-416.6640331019462
2002-05-24,-398.48660662385083
2002-05-28,-429.5179230720937
2002-05-29,-446.19630582340983
2002-05-30,-450.6494594040974
2002-05-31,-507.2312315992442
2002-06-03,-426.4017192827384
2002-06-04,-446.16170268314204
2002-06-05,-463.0666185407067
2002-06-06,-589.863238772388
2002-06-07,-456.73657405861576
2002-06-10,-482.4357061085856
2002-06-11,-609.7875334033305
2002-06-12,-446.3763729620142
2002-06-13,-471.71016999202556
2002-06-14,-489.40354251738506
2002-06-17,-440.16205757025125
2002-06-18,-480.83166834547484
2002-06-19,-475.5127637919413
2002-06-20,-564.8904186904826
2002-06-21,-485.61627509036987
2002-06-24,-560.7514168133582
2002-06-25,-576.7944496375349
2002-06-26,-556.4779670458299
2002-06-27,-618.999340013479
2002-06-28,-552.6633438794735
2002-07-01,-561.8215731396747
2002-07-02,-513.9349407167676
2002-07-03,-479.7014940471812
2002-07-05,-474.2758927575787
2002-07-08,-525.6010320711305
2002-07-09,-596.9273443866239
2002-07-10,-624.7782501590602
2002-07-11,-544.5685317595106
2002-07-12,-530.5231299489973
2002-07-15,-607.3663746863649
2002-07-16,-926.3506356130391
2002-07-17,-858.5498143268926
2002-07-18,-784.9549948808829
2002-07-19,-730.026982952147
2002-07-22,-853.9379186517539
2002-07-23,-886.087009303176
2002-07-24,-841.546831814588
2002-07-25,-620.2774210411949
2002-07-26,-662.3142737791446
2002-07-29,-603.5074072716752
2002-07-30,-580.1392174552672
2002-07-31,-672.8231740839414
2002-08-01,-549.1155514151942
2002-08-02,-575.4230143346915
2002-08-05,-567.567141022736
2002-08-06,-651.802533653601
2002-08-07,-702.2856549384037
2002-08-08,-493.8631282685349
2002-08-09,-487.8604739553165
2002-08-12,-548.1439772566491
2002-08-13,-596.812730412899
2002-08-14,-546.7300867326152
2002-08-15,-520.7604717682327
2002-08-16,-511.8494531915266
2002-08-19,-503.92204330705255
2002-08-20,-512.7625866214381
2002-08-21,-600.4173359082147
2002-08-22,-499.52364490490515
2002-08-23,-469.01776056164726
2002-08-26,-491.7785721131912
2002-08-27,-482.9062326412223
2002-08-28,-489.64397286594607
2002-08-29,-464.6275378860665
2002-08-30,-518.0065636066315
2002-09-03,-503.05818357784676
2002-09-04,-538.8759466585825
2002-09-05,-494.88668213273064
2002-09-06,-474.21619054960485
2002-09-09,-501.1731823804161
2002-09-10,-460.3458072428285
2002-09-11,-496.05012681892254
2002-09-12,-539.9747035428911
2002-09-13,-521.7081553226662
2002-09-16,-544.500029584309
2002-09-17,-510.42317397018815
2002-09-18,-636.8113836085222
2002-09-19,-551.0094214366492
2002-09-20,-544.566878382954
2002-09-23,-562.6248083317405
2002-09-24,-586.212338945056
2002-09-25,-547.7654949745801
2002-09-26,-550.1779175010065
2002-09-27,-535.7169398138335
2002-09-30,-561.9071216463144
2002-10-01,-672.0025527663482
2002-10-02,-687.584528532883
2002-10-03,-585.2479334114264
2002-10-04,-580.3038977423518
2002-10-07,-695.3654627221957
2002-10-08,-621.8697526296525
2002-10-09,-733.274255691892
