,0
2002-01-02,-483.5430787189281
2002-01-03,-486.19372126826363
2002-01-04,-438.8185517569726
2002-01-07,-448.1011582111723
2002-01-08,-425.4531300234918
2002-01-09,-486.4044900525831
2002-01-10,-441.1699349642743
2002-01-11,-423.25892353962934
2002-01-14,-484.4245166539147
2002-01-15,-456.1156767627515
2002-01-16,-487.8872896025223
2002-01-17,-424.90360329544023
2002-01-18,-527.3736343591795
2002-01-22,-515.6708016855653
2002-01-23,-532.5348566013962
2002-01-24,-477.656892199283
2002-01-25,-464.29485235049987
2002-01-28,-619.4764478089396
2002-01-29,-493.99078194443786
2002-01-30,-504.79212515099596
2002-01-31,-522.4912611461045
2002-02-01,-487.17740409776184
2002-02-04,-521.2393188552621
2002-02-05,-584.7205956360444
2002-02-06,-522.3346161297317
2002-02-07,-494.9312524915281
2002-02-08,-486.2244045287678
2002-02-11,-444.1639006843689
2002-02-12,-472.8715304339188
2002-02-13,-453.81201437702185
2002-02-14,-514.3167378336477
2002-02-15,-551.8496314516601
2002-02-19,-497.07839769049446
2002-02-20,-472.00290262149315
2002-02-21,-471.0796315378185
2002-02-22,-521.4868266918746
2002-02-25,-465.9958646258915
2002-02-26,-507.6488868943899
2002-02-27,-512.0113435446298
2002-02-28,-551.7307772408097
2002-03-01,-600.4280317573424
2002-03-04,-525.1720412680323
2002-03-05,-451.6092928236902
2002-03-06,-468.2155170454091
2002-03-07,-483.0458676877966
2002-03-08,-460.10327036551706
2002-03-11,-435.0858141802815
2002-03-12,-419.1554053085532
2002-03-13,-445.6085948355691
2002-03-14,-489.61100265786956
2002-03-15,-440.59980535845096
2002-03-18,-436.11410368635103
2002-03-19,-497.3835640355355
2002-03-20,-428.5182051901925
2002-03-21,-422.1098197865429
2002-03-22,-409.8549743481682
2002-03-25,-428.81756989830797
2002-03-26,-452.8559801355245
2002-03-27,-416.12877310876274
2002-03-28,-406.18533797781015
2002-04-01,-422.42932835061526
2002-04-02,-414.42697337273773
2002-04-03,-499.76272792773466
2002-04-04,-441.99002551774385
2002-04-05,-448.21916040196453
2002-04-08,-444.04615011545354
2002-04-09,-458.4790522842454
2002-04-10,-448.768012165517
2002-04-11,-435.64288826057634
2002-04-12,-444.14788052198
2002-04-15,-476.44715583628954
2002-04-16,-462.3806141521857
2002-04-17,-510.39596448678424
2002-04-18,-459.58107555945577
2002-04-19,-456.5071513308305
2002-04-22,-481.5062027511181
2002-04-23,-535.593388607287
2002-04-24,-540.5679986767282
2002-04-25,-575.3300571286461
2002-04-26,-518.3258303923216
2002-04-29,-492.0435626426806
2002-04-30,-454.5581001360939
2002-05-01,-464.79477226810127
2002-05-02,-450.28528273348513
2002-05-03,-462.5415344096649
2002-05-06,-456.1139136422505
2002-05-07,-579.097419690369
2002-05-08,-441.8135047693036
2002-05-09,-468.4245566422146
2002-05-10,-496.1594014033225
2002-05-13,-471.6886000237205
2002-05-14,-557.2135163610501
2002-05-15,-504.0722699365073
2002-05-16,-440.24100356174336
2002-05-17,-425.342928854485
2002-05-20,-434.1405168064613
2002-05-21,-461.57170794975514
2002-05-22,-465.52490836387454
2002-05-23,-412.9942656820094
2002-05-24,-407.7547031437232
2002-05-28,-427.400074732462
2002-05-29,-450.9092181781738
2002-05-30,-458.27786699851566
2002-05-31,-516.263090019219
2002-06-03,-424.5748624256391
2002-06-04,-468.4252823536061
2002-06-05,-459.0548309411048
2002-06-06,-624.2666633824879
2002-06-07,-463.78900786688337
2002-06-10,-496.12961035008357
2002-06-11,-727.3024242378743
2002-06-12,-461.36624559895984
2002-06-13,-477.3906762996238
2002-06-14,-499.1319719259031
2002-06-17,-460.7589683864574
2002-06-18,-497.11871983217213
2002-06-19,-519.1497866819133
2002-06-20,-661.3631927778933
2002-06-21,-495.9234540327376
2002-06-24,-554.6521412075429
2002-06-25,-603.4672302068004
2002-06-26,-590.2788324158074
2002-06-27,-677.7034712567465
2002-06-28,-568.1857572691914
2002-07-01,-541.1074141733063
2002-07-02,-533.1016562524185
2002-07-03,-484.65824381037527
2002-07-05,-483.9672473501081
2002-07-08,-520.7857394892523
2002-07-09,-537.679546540028
2002-07-10,-650.4371263303717
2002-07-11,-526.1521321783114
2002-07-12,-543.5736141112875
2002-07-15,-611.9748056578541
2002-07-16,-975.8791203513744
2002-07-17,-867.0782266042427
2002-07-18,-733.266808349849
2002-07-19,-712.8890144533331
2002-07-22,-858.349569120445
2002-07-23,-848.6113474304016
2002-07-24,-950.369799032628
2002-07-25,-658.6626766104891
2002-07-26,-737.2043819524208
2002-07-29,-629.9407972420529
2002-07-30,-600.2353435860791
2002-07-31,-635.9548511910692
2002-08-01,-529.593040743072
2002-08-02,-581.2871970186123
2002-08-05,-569.9675640509022
2002-08-06,-599.5492539934787
2002-08-07,-634.8340040332193
2002-08-08,-513.2480416621797
2002-08-09,-494.5619550186415
2002-08-12,-545.6141211675756
2002-08-13,-562.023930745347
2002-08-14,-546.900455430681
2002-08-15,-522.342723189805
2002-08-16,-520.4098957049803
2002-08-19,-506.14614383178315
2002-08-20,-506.6467570473377
2002-08-21,-692.0961597958473
2002-08-22,-537.228894433353
2002-08-23,-478.9351800926293
2002-08-26,-496.77278962482524
2002-08-27,-483.246703645991
2002-08-28,-484.9510225510287
2002-08-29,-460.90075591724735
2002-08-30,-500.0232360719131
2002-09-03,-499.1385268007267
2002-09-04,-567.411163112077
2002-09-05,-494.7297428860702
2002-09-06,-476.92554177186014
2002-09-09,-482.2454240815742
2002-09-10,-460.9308861033204
2002-09-11,-487.4557782241386
2002-09-12,-513.0057993898178
2002-09-13,-518.998839035838
2002-09-16,-529.2425019278527
2002-09-17,-500.9477568571676
2002-09-18,-617.2835195323228
2002-09-19,-543.505710072445
2002-09-20,-543.7436694535576
2002-09-23,-576.147299097018
2002-09-24,-587.8788860194901
2002-09-25,-538.1301191147211
2002-09-26,-551.102225916773
2002-09-27,-523.9264677183405
2002-09-30,-575.7769557078013
2002-10-01,-685.1565903704252
2002-10-02,-609.9428926875948
2002-10-03,-565.841468161401
2002-10-04,-590.1741682920223
2002-10-07,-693.375860541931
2002-10-08,-633.2522832775777
2002-10-09,-758.4709575787923
2002-10-10,-620.4490843408729
2002-10-11,-528.0305516838241
2002-10-14,-759.0850181637107
2002-10-15,-604.4726384342146
2002-10-16,-794.7138611666339
2002-10-17,-593.1089510611246
2002-10-18,-563.8080377912664
2002-10-21,-602.3096586513935
2002-10-22,-554.078018131697
2002-10-23,-619.5909398211227
2002-10-24,-675.1990790511534
2002-10-25,-555.3011299493133
2002-10-28,-531.0479392196302
2002-10-29,-635.0084327704603
2002-10-30,-620.017102147638
2002-10-31,-525.621399310597
2002-11-01,-562.9146401642696
2002-11-04,-530.5994266086003
2002-11-05,-579.4627979315248
2002-11-06,-523.296340958838
2002-11-07,-559.5625908042612
2002-11-08,-503.1813022789571
2002-11-11,-556.4434928610442
2002-11-12,-528.252082161834
2002-11-13,-570.3469403409879
2002-11-14,-531.197495905952
2002-11-15,-514.8785867364217
2002-11-18,-563.4849878720565
2002-11-19,-520.7098925897056
2002-11-20,-594.7977378174954
2002-11-21,-527.5908927781734
2002-11-22,-541.4924397112903
2002-11-25,-491.94943303937237
2002-11-26,-494.2443507410784
2002-11-27,-469.234563344154
2002-11-29,-504.30612235998655
2002-12-02,-502.25473426483677
2002-12-03,-490.96497870739034
2002-12-04,-465.9166285344579
2002-12-05,-481.6823041382494
2002-12-06,-475.2207750575723
2002-12-09,-486.18736397699814
2002-12-10,-488.4789619824138
2002-12-11,-488.6217699659434
2002-12-12,-466.96937009554586
2002-12-13,-472.1612111784743
2002-12-16,-474.9361440231185
2002-12-17,-515.3090252980126
2002-12-18,-472.2680679678148
2002-12-19,-503.99177566182675
2002-12-20,-464.8438304234651
2002-12-23,-411.651284787485
2002-12-24,-425.58111342957795
2002-12-26,-417.2513294731113
2002-12-27,-431.52987759384666
2002-12-30,-414.56324351345114
2002-12-31,-479.1230352739715
2003-01-02,-569.3811925805343
2003-01-03,-549.1554498802572
2003-01-06,-481.48622442466916
2003-01-07,-490.2986100476168
2003-01-08,-458.529194465729
2003-01-09,-461.555521739816
2003-01-10,-471.0357679144761
2003-01-13,-415.0093000440496
2003-01-14,-502.98903678479223
2003-01-15,-471.84346594884823
2003-01-16,-442.77308175515867
2003-01-17,-523.0545436040763
2003-01-21,-568.3861938854564
2003-01-22,-586.9521705563751
2003-01-23,-435.72838494975974
2003-01-24,-455.8591417368823
2003-01-27,-502.181973668453
2003-01-28,-478.14869342144095
2003-01-29,-611.4330728790628
2003-01-30,-468.5941208797893
2003-01-31,-472.50987036272704
2003-02-03,-442.9636752881526
2003-02-04,-448.6268270943672
2003-02-05,-615.4985944872194
2003-02-06,-459.1232255055602
2003-02-07,-442.22143380886484
2003-02-10,-422.51587123315784
2003-02-11,-473.98034220928696
2003-02-12,-484.34383996201893
2003-02-13,-470.83726339490215
2003-02-14,-512.6994809323344
2003-02-18,-425.78727224492275
2003-02-19,-458.8746354190946
2003-02-20,-423.6352787918015
2003-02-21,-441.2003968611089
2003-02-24,-434.8554361845833
2003-02-25,-432.814105321465
2003-02-26,-435.4924431411915
2003-02-27,-477.54838169190816
2003-02-28,-454.43302150565427
2003-03-03,-411.23334193779107
2003-03-04,-470.1444286065835
2003-03-05,-422.67708166399376
2003-03-06,-438.83941016296063
2003-03-07,-543.9969788669056
2003-03-10,-473.1140383988723
2003-03-11,-463.15675256886396
2003-03-12,-744.8853613574279
2003-03-13,-481.0726971330498
2003-03-14,-497.6343823816901
2003-03-17,-472.16556595727815
2003-03-18,-503.35731121079635
2003-03-19,-515.9492235936073
2003-03-20,-705.9070492834901
2003-03-21,-427.02630811113255
2003-03-24,-417.1873711748563
2003-03-25,-410.24261163038074
2003-03-26,-430.7092279687736
2003-03-27,-433.3435630319751
2003-03-28,-428.5145555882664
2003-03-31,-444.454458924545
2003-04-01,-495.59309717579276
2003-04-02,-427.3350920936783
2003-04-03,-431.84293672015843
2003-04-04,-438.3400076231735
2003-04-07,-419.7552556699006
2003-04-08,-387.43689599285676
2003-04-09,-408.8097297748019
2003-04-10,-414.72113988471057
2003-04-11,-426.07883681162997
2003-04-14,-473.2155173071666
2003-04-15,-546.2711002582214
2003-04-16,-618.4326620518652
2003-04-17,-427.602817324204
2003-04-21,-494.3348210049548
2003-04-22,-558.9755022136675
2003-04-23,-506.76197020092377
2003-04-24,-474.32924652810004
2003-04-25,-409.263920668166
2003-04-28,-482.08546505182505
2003-04-29,-468.37954743626744
2003-04-30,-444.3750034718988
2003-05-01,-479.0969032963533
2003-05-02,-475.6259128858675
2003-05-05,-428.57683008229003
2003-05-06,-433.85327494766256
2003-05-07,-437.58321548433173
2003-05-08,-412.4414310920189
2003-05-09,-420.9788260991728
2003-05-12,-435.36680625141804
2003-05-13,-452.80170201004444
2003-05-14,-419.20218725359524
2003-05-15,-423.0480754607883
2003-05-16,-451.8229071724162
2003-05-19,-486.7546220544252
2003-05-20,-467.8926083636765
