,0
2001-04-11,-517.2028103321372
2001-04-12,-495.19693845583356
2001-04-16,-576.2724860308501
2001-04-17,-619.6262805457201
2001-04-18,-601.0155069069037
2001-04-19,-532.4760087772822
2001-04-20,-516.1252517267075
2001-04-23,-525.2307902120359
2001-04-24,-527.1135212271456
2001-04-25,-550.5122408503439
2001-04-26,-513.2040132444747
2001-04-27,-527.0333507773812
2001-04-30,-541.9843806442207
2001-05-01,-573.6910732885456
2001-05-02,-493.2000213290903
2001-05-03,-499.9000229808754
2001-05-04,-481.42208338083685
2001-05-07,-494.9341291139973
2001-05-08,-478.97399992666965
2001-05-09,-493.96687017409806
2001-05-10,-485.2254762692936
2001-05-11,-481.36476025520346
2001-05-14,-485.22391221124644
2001-05-15,-504.4628991333508
2001-05-16,-512.6466820568796
2001-05-17,-487.5596177312586
2001-05-18,-501.6060384287967
2001-05-21,-486.46445430789487
2001-05-22,-483.05426819818166
2001-05-23,-488.7152851643646
2001-05-24,-474.05239622994407
2001-05-25,-484.939589032582
2001-05-29,-478.55360654971594
2001-05-30,-493.24454293100473
2001-05-31,-489.0449660601876
2001-06-01,-463.8889454529553
2001-06-04,-497.72085894822186
2001-06-05,-482.52855600013316
2001-06-06,-488.5306661638152
2001-06-07,-469.81324537776874
2001-06-08,-469.0760707628634
2001-06-11,-495.10971116728325
2001-06-12,-501.32095065062106
2001-06-13,-493.27531690344705
2001-06-14,-539.5879066535865
2001-06-15,-492.8910455072781
2001-06-18,-495.4184621717378
2001-06-19,-521.8214063627732
2001-06-20,-540.5478988415574
2001-06-21,-503.50214722590124
2001-06-22,-483.41587511946204
2001-06-25,-490.06059632504537
2001-06-26,-532.4043434570633
2001-06-27,-504.0708591587535
2001-06-28,-561.0683743263887
2001-06-29,-510.21644922045516
2001-07-02,-465.54991375311266
2001-07-03,-489.5284463244097
2001-07-05,-472.07573711208136
2001-07-06,-480.8945618604166
2001-07-09,-484.9099016434175
2001-07-10,-555.0950237084107
2001-07-11,-540.5507737140069
2001-07-12,-479.6385072968918
2001-07-13,-525.5515873456957
2001-07-16,-524.1138557600558
2001-07-17,-519.417230472559
2001-07-18,-529.3239524123728
2001-07-19,-502.05353304339855
2001-07-20,-488.45004580382135
2001-07-23,-513.4374357189106
2001-07-24,-566.2916800547931
2001-07-25,-546.0293721437014
2001-07-26,-488.6964240826191
2001-07-27,-488.15479261808207
2001-07-30,-502.63870073683347
2001-07-31,-506.99459689064827
2001-08-01,-534.839346486893
2001-08-02,-465.6679899245594
2001-08-03,-466.517790559288
2001-08-06,-466.36523101415327
2001-08-07,-470.1442927025246
2001-08-08,-468.66479576191347
2001-08-09,-464.0193116530274
2001-08-10,-468.23085564287646
2001-08-13,-464.7206260862525
2001-08-14,-496.0472134554423
2001-08-15,-494.264333483322
2001-08-16,-474.9630366588107
2001-08-17,-489.52797495024913
2001-08-20,-480.85872616586875
2001-08-21,-484.2334922632837
2001-08-22,-484.3087257474311
2001-08-23,-480.67764535010895
2001-08-24,-472.0365753943922
2001-08-27,-458.2309541773148
2001-08-28,-474.9606637742975
2001-08-29,-487.11823438628755
2001-08-30,-463.124947870942
2001-08-31,-512.0354531628951
2001-09-04,-484.98148417344976
2001-09-05,-516.2604811624778
2001-09-06,-491.0326306207445
2001-09-07,-510.90763050696364
2001-09-10,-979.6385192574819
2001-09-17,-606.7831172341284
2001-09-18,-584.4438657346586
2001-09-19,-633.2217172621731
2001-09-20,-672.3101807381586
2001-09-21,-616.4927975590019
2001-09-24,-565.8550586351199
2001-09-25,-793.885777342158
2001-09-26,-608.4275271021074
2001-09-27,-557.6984058430525
2001-09-28,-516.5953901558478
2001-10-01,-538.9094635637398
2001-10-02,-613.3193810131812
2001-10-03,-511.053769388639
2001-10-04,-539.0322660980524
2001-10-05,-501.2142108746111
2001-10-08,-533.1363428951549
2001-10-09,-567.0453348717929
2001-10-10,-599.1488426568807
2001-10-11,-507.41745239994964
2001-10-12,-494.5933089336175
2001-10-15,-503.1040353665052
2001-10-16,-559.1633669074055
2001-10-17,-529.388873586539
2001-10-18,-511.11349497503056
2001-10-19,-532.9227154166398
2001-10-22,-513.1647084694291
2001-10-23,-518.5741383151193
2001-10-24,-506.1518556139353
2001-10-25,-488.2657923111049
2001-10-26,-491.6016916606899
2001-10-29,-541.7245412236508
2001-10-30,-510.47348426058176
2001-10-31,-504.00866328118946
2001-11-01,-520.2350533664413
2001-11-02,-495.7976384291195
2001-11-05,-497.886455431172
2001-11-06,-517.3849523204218
2001-11-07,-517.536982428604
2001-11-08,-475.92549819811177
2001-11-09,-466.8301480716899
2001-11-12,-483.83887218495624
2001-11-13,-550.4860016420881
2001-11-14,-516.5288933480987
2001-11-15,-490.8982231180429
2001-11-16,-487.65587941725727
2001-11-19,-475.5608697605789
2001-11-20,-469.3110183649612
2001-11-21,-446.78271168815087
2001-11-23,-476.62346782207555
2001-11-26,-458.92073586734085
2001-11-27,-486.7950575477854
2001-11-28,-468.11767593847225
2001-11-29,-467.2154103969474
2001-11-30,-453.8850480161538
2001-12-03,-470.43012758904956
2001-12-04,-490.7682834273126
2001-12-05,-480.4031531147051
2001-12-06,-662.1398278322424
2001-12-07,-495.8256518077037
2001-12-10,-513.0512508614854
2001-12-11,-496.59154155519343
2001-12-12,-484.6837418678075
2001-12-13,-492.1034273157903
2001-12-14,-502.88717877376854
2001-12-17,-483.4553222573061
2001-12-18,-499.35507607343555
2001-12-19,-484.5540076878485
2001-12-20,-484.26887816418093
2001-12-21,-440.64752751517585
2001-12-24,-447.0285660213468
2001-12-26,-448.83533312932207
2001-12-27,-444.9207570490091
2001-12-28,-436.11498763110677
2001-12-31,-463.069350185914
2002-01-02,-489.80357934943186
2002-01-03,-473.015071187402
2002-01-04,-448.9305440913555
2002-01-07,-461.5383346709449
2002-01-08,-453.43587371180195
2002-01-09,-472.40659950126076
2002-01-10,-462.9452548376305
2002-01-11,-450.96975477832564
2002-01-14,-477.6834961849726
2002-01-15,-464.0555993209905
2002-01-16,-480.26678987079197
2002-01-17,-452.0811242527642
2002-01-18,-494.92926691282787
2002-01-22,-495.84162292063445
2002-01-23,-506.45892078542613
2002-01-24,-485.8117545222101
2002-01-25,-476.53146985279125
2002-01-28,-575.5467047481712
2002-01-29,-494.6403057747873
2002-01-30,-487.4602293323554
2002-01-31,-498.58891819206355
2002-02-01,-505.45832802475627
2002-02-04,-548.8906440862528
2002-02-05,-545.1025809314547
2002-02-06,-504.1291325022237
2002-02-07,-489.1662678083444
2002-02-08,-489.8164800865673
2002-02-11,-458.77440979365974
2002-02-12,-487.20041436863625
2002-02-13,-466.6528959367081
2002-02-14,-492.65248393507613
2002-02-15,-483.32832768328586
2002-02-19,-479.00127010771246
2002-02-20,-475.69453880907895
2002-02-21,-475.33057967155264
2002-02-22,-491.88361142553805
2002-02-25,-469.9448717303633
2002-02-26,-477.39581402778794
2002-02-27,-481.28686196627785
2002-02-28,-504.75535227810667
2002-03-01,-547.3365874347921
2002-03-04,-511.59467086071675
2002-03-05,-470.21363761165253
2002-03-06,-483.1701323100486
2002-03-07,-481.27286630123433
2002-03-08,-471.91719140560747
2002-03-11,-463.0113288125809
2002-03-12,-449.66274686154065
2002-03-13,-452.21519316440094
2002-03-14,-481.78800757099725
2002-03-15,-451.1966953816822
2002-03-18,-468.8050631000457
2002-03-19,-478.68596495484377
2002-03-20,-457.6362503405783
2002-03-21,-447.55475240759915
2002-03-22,-438.6869534327106
2002-03-25,-456.24736222092395
2002-03-26,-455.64894341985155
2002-03-27,-443.57435380415035
2002-03-28,-440.86090298279305
2002-04-01,-446.56008403315633
2002-04-02,-438.6158076120508
2002-04-03,-499.6572014339931
2002-04-04,-452.58442384117967
2002-04-05,-465.9388948234673
2002-04-08,-455.2611141108478
2002-04-09,-460.8717563144061
2002-04-10,-465.82381245956816
2002-04-11,-450.929001626744
2002-04-12,-459.77173914507716
2002-04-15,-480.8476549720916
2002-04-16,-477.9631538323681
2002-04-17,-487.82328288032795
2002-04-18,-463.013328273661
2002-04-19,-469.43141184149306
2002-04-22,-476.1000979494573
2002-04-23,-539.9850261470391
2002-04-24,-517.1989143144531
2002-04-25,-504.58906309294804
2002-04-26,-497.46129956726384
2002-04-29,-486.3653986560478
2002-04-30,-474.06418852847185
2002-05-01,-474.74323243674144
2002-05-02,-468.4185980626954
2002-05-03,-474.6948102915121
2002-05-06,-468.746246955037
2002-05-07,-519.6584076644978
2002-05-08,-453.21465491367576
2002-05-09,-467.0123816683001
2002-05-10,-504.8213659188877
2002-05-13,-468.11136705522756
2002-05-14,-495.4515848200749
2002-05-15,-509.7949010605537
2002-05-16,-461.6639810160823
2002-05-17,-454.3896623777884
2002-05-20,-447.63598183339434
2002-05-21,-457.2404410137562
2002-05-22,-461.2622146605547
2002-05-23,-439.0675276043934
2002-05-24,-428.0424725601471
2002-05-28,-448.53815407040463
2002-05-29,-454.8361801073986
2002-05-30,-450.24279204098957
2002-05-31,-505.24354071946175
2002-06-03,-441.097983885771
2002-06-04,-456.769078047839
2002-06-05,-459.953792194368
2002-06-06,-535.5199846991302
2002-06-07,-465.513436091312
2002-06-10,-510.17784300025494
2002-06-11,-595.5752263366122
2002-06-12,-506.5805580425165
2002-06-13,-465.2469132610162
2002-06-14,-480.6956259515157
2002-06-17,-456.4532518439865
2002-06-18,-473.07371835412107
2002-06-19,-485.28403696045376
2002-06-20,-550.6653137684327
2002-06-21,-492.8885150436034
2002-06-24,-524.1911065594311
2002-06-25,-538.1696666664385
2002-06-26,-548.2309224602391
2002-06-27,-581.1163668388697
2002-06-28,-545.2784103670613
2002-07-01,-518.0800613599091
2002-07-02,-499.79249856830745
2002-07-03,-477.2709040208287
2002-07-05,-480.0106626617737
2002-07-08,-503.2923602118674
2002-07-09,-526.9592834704614
2002-07-10,-583.1626127943376
2002-07-11,-559.3051096258787
2002-07-12,-530.6171449773667
2002-07-15,-583.721113650044
2002-07-16,-780.2385732419634
2002-07-17,-798.0660057773594
2002-07-18,-697.3369780850662
2002-07-19,-763.5828644865372
2002-07-22,-930.1943676539148
2002-07-23,-932.2243431100567
2002-07-24,-1060.732530102743
2002-07-25,-687.8174712651289
2002-07-26,-802.6844316842157
2002-07-29,-612.2095592779849
2002-07-30,-583.3605759699842
2002-07-31,-659.8398688557353
2002-08-01,-539.5844580056518
2002-08-02,-574.0638318839412
2002-08-05,-560.9212139205966
2002-08-06,-635.1426018695864
2002-08-07,-601.365156625302
2002-08-08,-482.5069170600031
2002-08-09,-472.72727690516115
2002-08-12,-520.0402323024367
2002-08-13,-573.4869195274716
2002-08-14,-542.7142727519225
2002-08-15,-504.8463432204082
2002-08-16,-500.4618255246798
2002-08-19,-501.2647593317928
2002-08-20,-512.9340519704919
2002-08-21,-613.2438813410656
2002-08-22,-502.2993914456145
2002-08-23,-461.65707677007055
2002-08-26,-485.3905550314042
2002-08-27,-468.7032929965429
2002-08-28,-475.64504417874014
2002-08-29,-453.5420452700598
2002-08-30,-487.76416699585894
2002-09-03,-496.04283409130164
2002-09-04,-520.4087156741731
2002-09-05,-482.96782737284695
2002-09-06,-472.4188634357258
2002-09-09,-486.8695078216231
2002-09-10,-461.01675108586676
2002-09-11,-482.0185176741909
